date,EU>40,EL>40,EU>40_pct,EL>40_pct
1960,,3836.0,,0.02439598318483328
1961,,3711.0,,0.024622468749170626
1962,,3437.0,,0.02256774591751643
1963,,3286.0,,0.0221479314667781
1964,,3254.0,,0.021237297759445505
1965,,3211.0,,0.02118562992775377
1966,,3194.0,,0.02064534477855056
1967,,3393.0,,0.020828217846093403
1968,,3399.0,,0.021189980424672395
1969,,3553.0,,0.02305391358513337
1970,,3462.0,,0.023878167547211455
1971,,3507.0,,0.024845028514753287
1972,,3380.0,,0.023985920690340345
1973,,3335.0,,0.02424484751553924
1974,,3335.0,,0.023144292693759717
1975,,3259.0,,0.022903123792122
1976,,3100.0,,0.021148572130275205
1977,,2910.0,,0.02024249253949373
1978,,2756.0,,0.01879894136585632
1979,,2707.0,,0.018291158485083954
1980,,2597.0,,0.017529885856615388
1981,,2321.0,,0.016466481735046435
1982,,1965.0,,0.014312143106864001
1983,,1708.0,,0.012878805015796895
1984,,1548.0,,0.012310922364842295
1985,,1443.0,,0.012386797716640198
1986,,1457.0,,0.012914033486079966
1987,,1477.0,,0.013881448482627044
1988,,1460.0,,0.013573693067189781
1989,,1362.0,,0.013397995219217565
1990,,1336.0,,0.013065886886191822
1991,,1439.0,,0.014022607678815045
1992,,1518.0,,0.014584794535025605
1993,,1592.0,,0.015638660497647325
1994,,1691.0,,0.016296753177915055
1995,,1689.0,,0.016641213852899156
1996,,1681.0,,0.016690164618042454
1997,,1892.0,,0.018542111762284638
1998,,1954.0,,0.01936686026919341
1999,,1999.0,,0.019862285504207943
2000,99540.0,2812.0,0.022180404635290106,0.02723038337513436
2001,103628.0,2425.0,0.023584917469403083,0.023708961498601903
2002,108656.0,2608.0,0.02489296501568869,0.025181280112775057
2003,115538.0,2763.0,0.0263489654077752,0.026460448190001915
2004,124362.0,3023.0,0.028002036397108243,0.028611991860300032
2005,132185.0,3122.0,0.02967581220936798,0.02902970849411874
2006,140911.0,3568.0,0.03120581228766368,0.031845200906802804
2007,150336.0,3928.0,0.033032312499176035,0.03509461608562801
2008,160899.0,4450.0,0.03441652294274437,0.03761559398826732
2009,168086.0,5057.0,0.03636361276298209,0.04288027948072211
2010,175474.0,5309.0,0.03811455522737669,0.04625934510220797
2011,180424.0,4958.0,0.04046844744523075,0.04658548502273838
2012,186270.0,5034.0,0.042164894686231795,0.0501539289236931
2013,189425.0,5035.0,0.04401841093129875,0.05348758153270869
2014,197139.0,4949.0,0.04520252157701057,0.05370649708624076
2015,202215.0,5541.0,0.04669098173552883,0.06032858993761364
2016,211684.0,6117.0,0.048334657290054296,0.06584641219401925
2017,217098.0,6328.0,0.05015478588722346,0.07146002958680113
2018,222679.0,6647.0,0.052448000452221186,0.0768972697825081
2019,224691.0,7018.0,0.05390010593342315,0.08378400964626387
2020,224336.0,7111.0,0.05509932005136211,0.08389174649615402
2021,,8312.0,,0.09739179340566635
