country,country_gr,population_2024,percent_of_total
AT,Αυστρία,9158750.0,0.020384206419024047
BE,Βέλγιο,11817096.0,0.02630076420225723
BG,Βουλγαρία,6445481.0,0.014345409054062785
CY,Κύπρος,966365.0,0.0021507939004908067
CZ,Τσεχία,10900555.0,0.02426086127494742
DE,Γερμανία,83456045.0,0.1857442607556009
DK,Δανία,5961249.0,0.013267676280191149
EE,Εσθονία,1374687.0,0.003059577297070988
EL,Ελλάδα,10400720.0,0.02314840162538248
ES,Ισπανία,48619695.0,0.10821060722369225
FI,Φινλανδία,5603851.0,0.012472232075933324
FR,Γαλλία,68467362.0,0.1523846420061737
HR,Κροατία,3861967.0,0.008595401393362527
HU,Ουγγαρία,9584627.0,0.021332061167446563
IE,Ιρλανδία,5351681.0,0.011910988966045479
IT,Ιταλια,58971230.0,0.1312495400686495
LT,Λιθουανία,2885891.0,0.006422994169161046
LU,Λουξεμβούργο,672050.0,0.0014957506126824197
LV,Λετονία,1871882.0,0.004166161220696664
MT,Μάλτα,563443.0,0.0012540290342409354
NL,Ολλανδία,17942942.0,0.039934776415185065
PL,Πολωνία,36620970.0,0.08150559975377504
PT,Πορτογαλία,10639726.0,0.023680346229109545
RO,Ρουμανία,19067576.0,0.04243782231138844
SE,Σουηδία,10551707.0,0.023484446410379254
SI,Σλοβενία,2123949.0,0.004727175088246727
SK,Σλοβακία,5424687.0,0.012073475044803746
