area,density
Βόρειος Τομέας Αθηνών,4285.0
Δυτικός Τομέας Αθηνών,7122.7
Κεντρικός Τομέας Αθηνών,10446.4
Νότιος Τομέας Αθηνών,7436.1
Ανατολική Αττική,376.7
Δυτική Αττική,180.5
"Πειραιάς, Νήσοι",538.0
"Λέσβος, Λήμνος",55.1
"Ικαρία, Σάμος",63.8
Χίος,65.3
"Κάλυμνος, Κάρπαθος, Κως, Ρόδος",81.9
"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",49.6
Ηράκλειο,119.4
Λασίθι,40.7
Ρεθύμη,58.8
Χανιά,67.5
Έβρος,35.2
Ξάνθη,63.2
Ροδόπη,44.0
Δράμα,28.2
"Θάσος, Καβάλα",63.6
Ημαθία,84.4
Θεσσαλονίκη,310.6
Κιλκίς,32.2
Πέλλα,55.3
Πιερία,87.0
Σέρρες,43.2
Χαλκιδική,38.0
"Γρεβενά, Κοζάνη",29.7
Καστοριά,27.4
Φλώρινα,27.4
"Άρτα, Πρέβεζα",46.3
Θεσπρωτία,29.9
Ιωάννινα,33.8
"Καρδίτσα, Τρίκαλα",39.0
Λάρισα,52.3
"Μαγνησία, Σποράδες",78.2
Ζάκυνθος,98.0
Κέρκυρα,162.2
"Ιθάκη, Κεφαλληνία",43.1
Λευκάδα,68.1
Αιτωλοακαρνανία,38.5
Αχαΐα,91.3
Ηλεία,60.1
Βοιωτία,41.9
Εύβοια,51.5
Ευρυτανία,10.3
Φθιώτιδα,35.9
Φωκίδα,20.1
"Αργολίδα, Αρκαδία",27.1
Κορινθία,64.5
"Λακωνία, Μεσσηνία",37.5
