country,country_gr,population_2022,percent_of_total
AT,Αυστρία,8978929.0,0.02009899191062566
BE,Βέλγιο,11617623.0,0.026005608318954144
BG,Βουλγαρία,6838937.0,0.01530870100880389
CY,Κύπρος,904705.0,0.0020251478184650515
CZ,Τσεχία,10516707.0,0.023541249621131903
DE,Γερμανία,83237124.0,0.1863231441010108
DK,Δανία,5873420.0,0.013147427835514343
EE,Εσθονία,1331796.0,0.002981174818355687
EL,Ελλάδα,10459782.0,0.023413825168336656
ES,Ισπανία,47432893.0,0.10617673140132554
FI,Φινλανδία,5548241.0,0.012419526981135682
FR,Γαλλία,67871925.0,0.15192872908713181
HR,Κροατία,3862305.0,0.008645623208666539
HU,Ουγγαρία,9689010.0,0.02168848128902357
IE,Ιρλανδία,5060004.0,0.011326626980092335
IT,Ιταλια,59030133.0,0.13213671314810005
LT,Λιθουανία,2805998.0,0.006281120064902148
LU,Λουξεμβούργο,645397.0,0.0014446966984750708
LV,Λετονία,1875757.0,0.004198810879259593
MT,Μάλτα,520971.0,0.0011661738181324923
NL,Ολλανδία,17590672.0,0.03937605189109629
PL,Πολωνία,37654247.0,0.08428760332704496
PT,Πορτογαλία,10352042.0,0.023172653265935955
RO,Ρουμανία,19042455.0,0.042625813056707894
SE,Σουηδία,10452326.0,0.0233971351952134
SI,Σλοβενία,2107180.0,0.004716842484691903
SK,Σλοβακία,5434712.0,0.012165396621866617
