area,density
Βόρειος Τομέας Αθηνών,4430.7
Δυτικός Τομέας Αθηνών,6832.6
Κεντρικός Τομέας Αθηνών,11142.8
Νότιος Τομέας Αθηνών,7410.0
Ανατολική Αττική,353.0
Δυτική Αττική,164.0
"Πειραιάς, Νήσοι",560.8
"Λέσβος, Λήμνος",51.2
"Ικαρία, Σάμος",55.5
Χίος,58.0
"Κάλυμνος, Κάρπαθος, Κως, Ρόδος",78.6
"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",45.6
Ηράκλειο,114.7
Λασίθι,42.5
Ρεθύμνη,57.3
Χανιά,66.2
Έβρος,32.4
Ξάνθη,61.1
Ροδόπη,42.3
Δράμα,25.7
"Θάσος, Καβάλα",59.9
Ημαθία,77.1
Θεσσαλονίκη,304.6
Κιλκίς,27.9
Πέλλα,49.0
Πιερία,76.2
Σέρρες,39.7
Χαλκιδική,34.7
"Γρεβενά, Κοζάνη",27.5
Καστοριά,26.0
Φλώρινα,24.0
"Άρτα, Πρέβεζα",44.3
Θεσπρωτία,26.7
Ιωάννινα,33.6
"Καρδίτσα, Τρίκαλα",37.3
Λάρισα,49.6
"Μαγνησία, Σποράδες",72.4
Ζάκυνθος,99.4
Κέρκυρα,157.2
"Ιθάκη, Κεφαλληνία",43.0
Λευκάδα,63.6
Αιτωλοακαρνανία,35.7
Αχαΐα,92.0
Ηλεία,58.7
Βοιωτία,36.8
Εύβοια,51.0
Ευρυτανία,9.6
Φθιώτιδα,30.1
Φωκίδα,17.6
"Αργολίδα, Αρκαδία",25.4
Κορινθία,59.8
"Λακωνία, Μεσσηνία",34.3
