country,2001,2022,country_gr
AT,38.3,43.6,Αυστρία
BE,39.0,41.9,Βέλγιο
BG,39.3,45.1,Βουλγαρία
CY,33.6,38.3,Κύπρος
CZ,37.6,43.8,Τσεχία
DE,40.2,45.8,Γερμανία
DK,38.4,42.3,Δανία
EE,38.2,42.6,Εσθονία
EL,38.7,46.1,Ελλάδα
ES,37.6,45.1,Ισπανία
EU27_2020,38.4,44.4, E.E.
FI,39.5,43.4,Φινλανδία
FR,37.6,42.2,Γαλλία
HR,39.8,45.4,Κροατία
HU,38.6,43.9,Ουγγαρία
IE,32.6,38.8,Ιρλανδία
IT,40.4,48.0,Ιταλια
LT,36.2,44.5,Λιθουανία
LU,37.1,39.7,Λουξεμβούργο
LV,38.2,44.0,Λετονία
MT,36.7,40.4,Μάλτα
NL,37.6,42.7,Ολλανδία
PL,35.4,42.0,Πολωνία
PT,37.9,46.8,Πορτογαλία
RO,34.4,43.5,Ρουμανία
SE,39.4,40.7,Σουηδία
SI,38.2,44.7,Σλοβενία
SK,34.3,41.8,Σλοβακία
