country,2001,2023,country_gr
AT,38.3,43.5,Αυστρία
BE,39.0,41.9,Βέλγιο
BG,39.3,46.8,Βουλγαρία
CY,33.6,38.4,Κύπρος
CZ,37.6,43.7,Τσεχία
DE,40.2,45.4,Γερμανία
DK,38.4,42.2,Δανία
EE,38.2,42.3,Εσθονία
EL,38.7,46.5,Ελλάδα
ES,37.6,45.3,Ισπανία
EU27_2020,38.4,44.5, E.E.
FI,39.5,43.5,Φινλανδία
FR,37.6,42.4,Γαλλία
HR,39.8,45.4,Κροατία
HU,38.6,44.2,Ουγγαρία
IE,32.6,39.1,Ιρλανδία
IT,40.4,48.4,Ιταλια
LT,36.2,44.2,Λιθουανία
LU,37.1,39.7,Λουξεμβούργο
LV,38.2,43.9,Λετονία
MT,36.7,40.1,Μάλτα
NL,37.6,42.5,Ολλανδία
PL,35.4,42.6,Πολωνία
PT,37.9,47.0,Πορτογαλία
RO,34.4,43.6,Ρουμανία
SE,39.4,40.8,Σουηδία
SI,38.2,44.9,Σλοβενία
SK,34.3,42.2,Σλοβακία
