date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,9802100.0,111400.0,513450.0,1400.0,379733.3333333333,,1125925.0,114405975.0,62062150.0,289533.3333333333
2003,12810666.666666666,204600.0,1007250.0,79400.0,1041550.0,0.0,1462266.6666666667,142891875.0,73008275.0,270533.3333333333
2004,8893350.0,624766.6666666666,,300.0,1115166.6666666667,,2077533.3333333333,92977525.0,116030650.0,353500.0
2005,7315100.0,515833.3333333333,24500.0,39300.0,1302300.0,3400.0,3031450.0,62714550.0,85879150.0,250350.0
2006,3944066.6666666665,321700.0,27900.0,3799950.0,1137000.0,6100.0,2493450.0,77749450.0,139998766.66666666,1143550.0
2007,20733500.0,359866.6666666667,47800.0,18654900.0,1243633.3333333333,1600.0,2607150.0,78025025.0,135235875.0,2583300.0
2008,4846066.666666667,321800.0,49800.0,24226500.0,1075866.6666666667,18233400.0,2931450.0,63318125.0,102003200.0,1374833.3333333333
2009,6696600.0,339350.0,71700.0,17669000.0,571800.0,2600.0,3875250.0,69263650.0,125870633.33333333,492733.3333333333
2010,1837540.0,186362.0,32946.0,52000.0,476512.3333333333,11983883.0,1463006.5,73910362.0,127344333.0,628826.0
2011,3293996.5,132638.33333333334,29374.0,29000.0,233172.66666666666,587.0,2126128.0,78973034.5,74020959.0,1800553.0
2012,1351071.0,69315.5,36646.0,,81947.75,3651.0,2291679.0,37723336.5,68894526.25,430476.0
2013,1362066.0,85391.66666666667,45244.0,,116296.0,1667.0,2000043.5,110668056.25,63283006.75,222751.33333333334
2014,2799888.3333333335,86933.0,34050.0,,84289.0,3578760.0,1934673.0,173405560.33333334,66773108.5,1209206.3333333333
2015,1886817.0,77477.66666666667,29551.0,,53025.0,11248786.0,2188359.0,107085771.5,71475769.25,2441769.5
2016,2168606.5,78529.0,38193.0,20000.0,72954.33333333333,8280373.0,1466550.0,138509830.25,109496297.66666667,1335253.5
2017,620491.3333333334,72033.0,25323.0,40004.0,61543.0,1275.0,1090931.3333333333,137153269.0,86051770.0,2984210.5
2018,924780.75,77572.0,28024.0,59000.0,70796.0,1276.0,1477744.6666666667,165031560.25,95694076.75,655853.6666666666
2019,952833.6666666666,85487.25,21603.0,64910.0,136017.0,599.0,2317837.5,176681670.25,105851641.5,6589402.5
2020,958522.75,66171.0,18332.0,20000.0,82459.66666666667,44004979.0,1432859.0,192960624.0,116698383.0,1241596.5
2021,2167194.6666666665,44941.25,25142.0,42040.0,94726.0,3434326.3333333335,2460419.6666666665,197877262.25,129529812.5,1049144.6666666667
2022,3533267.3333333335,69012.25,,33806.5,133164.25,14926886.0,2406462.0,183573013.75,108576001.5,2091887.5
2023,2644850.3333333335,64851.25,,71855.5,166703.0,136463958.0,4928799.0,192713658.5,128219270.25,3964054.3333333335
2024,2423847.25,76354.66666666667,,94905.66666666667,224308.66666666666,1736.0,2410871.0,183923460.0,154820906.75,2008944.25
