Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,3896952.5,154820906.75,-150923954.25
1,Beverages and tobacco,Ποτά και καπνός,342565.5,2410871.0,-2068305.5
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",637872.25,183923460.0,-183285587.75
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",18043038.666666668,1736.0,18041302.666666668
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,74495.66666666667,94905.66666666667,-20410.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,2384013.25,2008944.25,375069.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",1156060.0,2423847.25,-1267787.25
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,166577.25,224308.66666666666,-57731.41666666666
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,17208.0,76354.66666666667,-59146.66666666667
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",311.5,,
