Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,,1110151.5,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,5256.5,19344.0,-14087.5
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",,1891112.5,
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,29971.333333333332,359718.3333333333,-329747.0
05,Vegetables and fruit,Λαχανικά και φρούτα,4304050.5,5997255.0,-1693204.5
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",1573.0,639032.5,-637459.5
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",65945.66666666667,12990524.5,-12924578.833333334
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,205.0,154027199.0,-154026994.0
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,55852.5,228494.0,-172641.5
11,Beverages,Ποτά,115520.25,34889.5,80630.75
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,171521.0,4508857.5,-4337336.5
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,,56066980.666666664,
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),280004.5,408302.0,-128297.5
24,Cork and wood,Ξυλεία και φελλός,,1293360.5,
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,,32696130.0,
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",2600.0,138.0,2462.0
