Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,8263456.75,105699515.25,-97436058.5
1,Beverages and tobacco,Ποτά και καπνός,939359.0,28274504.5,-27335145.5
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",531070.0,42652261.0,-42121191.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",1509195.6666666667,2953252.0,-1444056.3333333333
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,585399.0,171114.0,414285.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,2848376.5,3157519.0,-309142.5
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",3704612.75,3194098.25,510514.5
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,3199803.5,2265039.75,934763.75
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,1603762.25,1269435.25,334327.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",475.0,207.0,268.0
