date,Argentina_Exports_Euro,Argentina_Exports_KG,Argentina_Imports_Euro,Argentina_Imports_KG,Brazil_Exports_Euro,Brazil_Exports_KG,Brazil_Imports_Euro,Brazil_Imports_KG,Paraguay_Exports_Euro,Paraguay_Exports_KG,Paraguay_Imports_Euro,Paraguay_Imports_KG,Uruguay_Exports_Euro,Uruguay_Exports_KG,Uruguay_Imports_Euro,Uruguay_Imports_KG,WORLD_Exports_Euro,WORLD_Exports_KG,WORLD_Imports_Euro,WORLD_Imports_KG,Mercosur_Exports_Euro,Mercosur_Imports_Euro,Mercosur_Exports_KG,Mercosur_Imports_KG,Mercosur_Exports_Euro_pct,Mercosur_Imports_Euro_pct,Mercosur_Exports_KG_pct,Mercosur_Imports_KG_pct,Mercosur_Balance_Euro
2015,8800468.0,70841143.0,123734434.0,271598811.0,36241732.0,134638973.0,105234013.0,331884107.0,8574776.0,67257603.0,50789694.0,130925979.0,7582849.0,23580466.0,3048296.0,4541002.0,25753707087.0,38251983499.0,42211359065.0,50034313440.0,61199825.0,282806437.0,296318185.0,738949899.0,0.2376350122848627,0.6699770944700333,0.7746478950764645,1.4768862570406442,-221606612.0
2016,3745411.0,30205517.0,116124039.0,274409944.0,94747533.0,310606867.0,134300111.0,501845788.0,6495722.0,40335697.0,33552767.0,88934439.0,4707761.0,12106316.0,14031644.0,36071879.0,25445759688.0,41347087483.0,42317012821.0,53460413556.0,109696427.0,298008561.0,393254397.0,901262050.0,0.4310990449687061,0.7042287277236923,0.9511054367775915,1.6858493791035198,-188312134.0
2017,5800984.0,5347386.0,132474106.0,321888130.0,26096546.0,102596427.0,94964521.0,425685004.0,5334832.0,5755565.0,56466115.0,153142925.0,6564358.0,12782715.0,2151783.0,3746149.0,28862972006.0,43253451464.0,47355920779.0,55372914698.0,43796720.0,286056525.0,126482093.0,904462208.0,0.15174016033725007,0.604056515625501,0.2924208097133508,1.633401840832966,-242259805.0
2018,32175871.0,63276581.0,156148664.0,363345785.0,110622106.0,453274610.0,131909814.0,600038214.0,3235752.0,3837411.0,27031595.0,70804564.0,4630774.0,7479825.0,7729438.0,19424879.0,33472389759.0,45467098492.0,54119830046.0,58301248351.0,150664503.0,322819511.0,527868427.0,1053613442.0,0.45011576432032185,0.5964902526959425,1.160989912503168,1.8071884767488482,-172155008.0
2019,4507936.0,2546571.0,161976865.0,403952080.0,134610091.0,392593922.0,133814896.0,670186393.0,1830726.0,2680686.0,23024249.0,69734453.0,4119172.0,2513351.0,4829879.0,7835923.0,33864483817.0,44768792640.0,55726736643.0,56603807671.0,145067925.0,323645889.0,400334530.0,1151708849.0,0.4283777830010088,0.5807730875636231,0.8942267735902917,2.0346844079714774,-178577964.0
2020,7027422.0,4332339.0,176076292.0,432511891.0,34751384.0,27977780.0,174600816.0,849217496.0,3756495.0,5771387.0,3650415.0,8006412.0,3773306.0,2524684.0,2914263.0,4071464.0,30800679378.0,43113825493.0,48953809008.0,55231956340.0,49308607.0,357241786.0,40606190.0,1293807263.0,0.1600893486629378,0.72975278786094,0.09418368594221095,2.34249762046361,-307933179.0
2021,16679653.0,21465796.0,240862118.0,491318918.0,70171174.0,91755298.0,191695161.0,839466649.0,4316919.0,4231391.0,5011388.0,4417769.0,5016080.0,3234580.0,2084039.0,2331384.0,39971546328.0,45662921794.0,65366902653.0,59635093888.0,96183826.0,439652706.0,120687065.0,1337534720.0,0.24063073570066862,0.6725922265797035,0.2642999183110924,2.2428651198437097,-343468880.0
2022,15443510.0,17064689.0,269090827.0,418127158.0,55087015.0,19080075.0,349906504.0,801678490.0,3996134.0,2089321.0,4602054.0,3780101.0,8701946.0,8635234.0,1686117.0,1970261.0,55762185244.0,44610454614.0,94552734118.0,60474459454.0,83228605.0,625285502.0,46869319.0,1225556010.0,0.14925635470671475,0.6613087477932216,0.10506353142003422,2.0265679446580602,-542056897.0
2023,82523240.0,80617888.0,287968361.0,477711694.0,51299187.0,25689204.0,410193657.0,952351027.0,4520159.0,2720213.0,13635987.0,20264888.0,6975510.0,7615248.0,1284287.0,658854.0,51017380389.0,45285792219.0,83088337285.0,59676334820.0,145318096.0,713082292.0,116642553.0,1450986463.0,0.2848403718340122,0.8582218820363051,0.2575698630509145,2.4314269088015683,-567764196.0
2024,19834503.0,32114285.0,297826039.0,569699635.0,71333136.0,33945929.0,334575663.0,797639159.0,2590345.0,2508709.0,8216947.0,12878364.0,14661670.0,20950377.0,1737606.0,956050.0,50002860668.0,44437975328.0,85601639772.0,63103306927.0,108419654.0,642356255.0,89519300.0,1381173208.0,0.2168269026043636,0.7504018108892728,0.20144774675095203,2.1887493306773713,-533936601.0
