track_name,artist_names,total_streams_2024,weeks_in_top200_2024
NTALAVERITZHS,"DIFF, Greco Beats",529081,7
COLOMBIA,"GAB, Onad, XRS",524747,4
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,524155,5
50Κ,"DIFF, BeTaf Beats",523636,4
Moneydance,"TOQUEL, Sin Laurent, Beyond",522911,7
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",521220,7
TUCUTUM,Marina Satti,518815,3
Familia,"Sadam, Solid",516865,4
Prada,"cassö, RAYE, D-Block Europe",514017,6
FWTA MPLE,"Kidd, Echo",511468,4
SPITI,"SIDARTA, Yll Limani",510290,6
"yes, and?",Ariana Grande,510003,4
Nitro,"Sadam, Quicksilver Beats",508879,4
Nyxta Mera,"DIFF, Strat, BeTaf Beats",506898,3
Ioudas,"Sadam, Beats Pliz",506308,4
Santa Tell Me,Ariana Grande,505162,5
Ekpaideutiki Ekdromi,"Trannos, Stanley",504934,4
Tough,"Quavo, Lana Del Rey",504041,4
TRAPSTAR,"Mef, Lava, Lev",503385,4
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",502707,6
Perastika Tis,"Vasilis Karras, Foivos",502092,5
TO KALOKAIRI AUTO,"Saske, Negros Tou Moria",501976,4
Logia,Ivi Adamou,500390,6
Xadia,Yolte,499552,4
City Boys,"Sadam, Mike G",496628,4
Kommatia,"Dirty Harry, Echo",493587,4
Barcode,"RACK, DJ.Silence",491297,6
Call Me,"Trannos, Marilena, Teo Tzimas",488935,3
TO KSEREIS,Saske,488277,4
Big Moves - Vol. 5,VLOSPA,485349,4
I Eukairia Mou,"Ethismos, Melow",485281,4
Too Sweet,Hozier,484463,6
Once In A Lifetime,Light,482019,1
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",480568,4
It's Beginning to Look a Lot like Christmas,Michael Bublé,480184,5
BOSSIN,"Saske, Kest",479767,4
Auee Auee,"Trannos, Matolale",472339,3
Esy Me Xereis Pio Poly - Reworks,"Haris Alexiou, Christos Mastoras",471668,6
Foto,Alecc,471088,4
Glock,Trannos,461736,3
Moira,Josephine,460027,6
SPECIAL,Ivan Greko,456787,3
LATHOS STIGMI,"Saske, Kest",456263,3
Esy,Light,453312,6
Fck Em All,"Ethismos, Mike G",453307,3
CREEPIN,"Saske, Gamecue",451199,3
NAI,Ivan Greko,447707,6
Tipota Tiheo,"Ioulia Kallimani, Michael Touratzidis",447511,3
APT.,"ROSÉ, Bruno Mars",447150,3
luther (with sza),"Kendrick Lamar, SZA",442497,4
The Emptiness Machine,Linkin Park,441510,4
Pes Mou Kati,Petros Iakovidis,436542,5
Money Fast,"Alecc, Gosei, BTK 187",435693,2
Ena Tsigaro,"ROPEX LATERIO, Lava, Paris Kalpos",435207,2
KEHLANI,Jordan Adetunji,433193,5
VROXI,"SIDARTA, Beyond",432504,4
Fernw Trap,"Mad Clip, Billy Sio",429257,2
BLACK SHEEP,"Ivan Greko, Karma Beats",429107,3
Memento Vivere In F Minor,"Beats Pliz, Wang",428992,4
squabble up,Kendrick Lamar,428370,3
AURORA,Sigma,427180,4
Mesa Sou,"Thug Slime, Fy, Tania Breazou",425448,5
It's Not Right - Radio Edit,"Gianni Romano, Emanuele Esposito, Helen Tesfazghi",421908,5
TTG,"DIFF, BeTaf Beats",420072,3
Public Enemy,"Yanek, Block 93, Light, prodmxrio",417080,2
Money Dance,"Retro, Night Grind, Longlive",415059,5
NARNIA,Roi 6/12,411279,4
Never Lose Me,Flo Milli,410497,5
Snowman,Sia,405422,4
Paidi Tis Nixtas,"Giorgos Mazonakis, APON",401249,3
Tzimis Panousis,Hawk,401212,3
Paidi Tou 2000,"Ethismos, Tr4cer",400587,3
Where Are You Now,"Lost Frequencies, Calum Scott",400104,5
As It Was,Harry Styles,400036,5
It's the Most Wonderful Time of the Year,Andy Williams,399602,4
APOPSE VRADI,Saske,393395,3
Theos,Bossikan,387697,4
AFTOKATASTROFI,"Sigma, Saske",384352,3
Too Sweet,Hozier,384093,3
APANTISE MOU,Mente Fuerte,380903,4
NA PAS,"Kidd, Oge",379815,4
Anexartiti - Live Version,"Ioulia Kallimani, Michael Touratzidis",379751,4
Simptosi,"Bloody Hawk, FANN",378933,2
Itheles Na Mplekseis,Kako,378852,5
Klise,Bloody Hawk,378792,2
To Kalokairi Mas,Konstantinos Argiros,377816,4
Loopa,"VLOSPA, Solid, rigasbeats, Sin Laurent",375631,3
OULALALA,"Saske, Kareem Kalokoh",371699,3
Big Dawgs,"Hanumankind, Kalmi",365165,4
UNNECESSARY RAPPIN,Saske,364955,3
Aeroplano - Remix,"Eleni Foureira, Fy, Beyond",362572,4
San Th Prwth Fora,"FANN, Bloody Hawk, Greco Beats, Hades",358877,3
Did It First (with Central Cee),"Ice Spice, Central Cee",355124,4
Cinderella,"Future, Metro Boomin, Travis Scott",353803,3
Petheno,Roi 6/12,348727,1
Grace Kelly,Light,347229,2
Unwritten,Natasha Bedingfield,345035,4
Oneiro,"Lava, ROPEX LATERIO, Paris Kalpos",340936,4
Ya Ya,"Moose, HGEMONA$, Savv",338231,4
Pagoto Fystiki,Marina Spanou,334161,3
BLUE,Billie Eilish,333797,3
Give It To Me - Full Vocal Mix,Matt Sassari,333296,4
Unforgettable,Marcus & Martinus,331041,2
Training Season,Dua Lipa,328215,3
BMW,"Feisty, Bossikan, Roi 6/12",327661,2
Mad 4 Ever - Outro,Fy,324695,2
TOSO OSO PREPEI,Bossikan,324573,3
SPIRTO KE VENZINI,Marina Satti,324465,3
MADONNA,Roi 6/12,324375,4
Balkan Christmas,Lava,319130,2
SOUKOU,"Kings, Ivan Greko, Mc Daddy, Teo Tzimas",317441,3
Addicted,"Zerb, The Chainsmokers, Ink",314225,4
PRONTO,"Tugan, Ortiz, Skoul",314064,4
Dostojevski,"Jala Brat, Light, Pyrex",313060,4
HOOD,"Saske, Beyond",312225,2
Intro (Apo Tous Yponomous),"LEX, Solid",312047,3
Thimame,"VLOSPA, Solid",310972,2
I Mia,Giorgos Kakosaios,310463,4
RATATA,"Kidd, Venom, Oge",309720,3
EYXH,Sicario,307789,4
Doomsday Blue,Bambie Thug,306192,2
Mesanyxta,"VLOSPA, LEX, Oge",305804,3
Bad Dreams,Teddy Swims,303861,4
Illegal,Christos,303278,3
Egw & Esy,"Trannos, Eleni Foureira",302099,4
Kitrinos Typos,"Ethismos, Melow",299590,2
Sweater Weather,The Neighbourhood,297911,4
My Love Mine All Mine,Mitski,297843,4
Pistoli,"Sin Laurent, TOQUEL",297778,4
BACK 2 BACK,"Saske, Kest",295838,2
Last Christmas - Single Version,Wham!,295525,3
Blue Jeans,"Ethismos, Melow",292966,2
Svise Ta Fota,"Fy, Mad Clip",292775,3
Golgothas,"Sadam, Quicksilver Beats",291468,2
The Door,Teddy Swims,290637,4
In' Entaksi Mazi Mou,Eleni Tsaligopoulou,290118,3
Epal,Fy,288566,2
Millennials,"Ethismos, Melow",287695,2
Gaza,Hawk,285868,2
Revanche,"Ethismos, Dof Twogee",284126,2
IDGAF (feat. Yeat),"Drake, Yeat",283383,4
Deja Vu,"Hawk, Sapranov",282019,4
GANGSTA,"Kidd, Destiny",280436,2
EIMAI KALA!!!!!!!!,Marina Satti,280113,2
FOTIA,"Sigma, Ramoon",279710,2
Miami,Fy,279356,2
SERI,"Sin Laurent, Oge, VLOSPA",277010,2
Rolex,"Thug Slime, Lindo, Gosei",276644,2
AKOMI,"SIDARTA, Beyond",275720,4
Posto,"Ethismos, Chico Beatz",275147,2
Skrofa,"ATC Coco, Megrel",274520,3
Starboy,"The Weeknd, Daft Punk",271915,4
Trap Basement,Hawk,271141,2
TELEGRAM,"Bossikan, Lovd",270808,2
PIES,Sigma,270429,2
4REAL,Saske,270345,2
Mamushi (feat. Yuki Chiba),"Megan Thee Stallion, Yuki Chiba",268720,3
COCKTAILS & BNBS,Saske,264551,2
YELLOW TAPE,"BTK 187, HGEMONA$, FLY LO, F(x), Azazel, Mike G",263217,3
True North 4,"Sp93, Block 93, mi368",261549,1
Miami,Fy,260294,2
euphoria,Kendrick Lamar,257804,2
6:30,"Corle, Takanuva, _OTS",255644,3
It's Not Right But It's Okay,Mr. Belt & Wezol,255050,3
Elpida,Konstantinos Argiros,254769,3
KARMA,"Kidd, Verde, Echo",250956,2
A Sky Full of Stars,Coldplay,250146,2
Gia Tous Anisixous,"Novel 729, Sumo Beats",248700,2
Yellow,Coldplay,248498,2
PANAMERA,"Bres, Onad, Ioannis",248236,2
OTI GOUSTARO,"Saske, Kest",247269,2
Liar,Silia Kapsis,247071,2
EDO POU M'AFISES,"LILA, Beyond, Sin Laurent",246051,3
Viva La Vida,Coldplay,245955,2
Hurricane,Eden Golan,241710,2
SAVVATOKYRIAKA,"Saske, Beyond",241000,2
Jako,Ladaniva,239637,2
To Agnwsto,"Novel 729, Sokratis Malamas, KK",236397,2
Nihta Xelogiastra,Vasilis Karras,236219,2
GO!,"Saske, Beyond",236154,2
Parallili Agapi,Christina Salti,236094,3
DE THA PO,Saske,234733,2
Anagki Na Se Do,Bloody Hawk,234587,3
MILA MOU,"Sigma, SIDARTA",232715,2
Dancing In The Flames,The Weeknd,231555,2
Repo,APON,228671,3
DYSKOLA,Bossikan,228526,2
Rosetta Stone,"Light, Saske",227791,1
Push Ups,Drake,226101,2
BLICK - Remix,"Yolte, Bossikan",223845,2
HABIBI,"Bossikan, M3NOS",223272,2
STAXTI,Saske,223112,2
Paei Kairos,Light,222966,3
Paint The Town Red,Doja Cat,222032,3
Blue Jeans,"Ethismos, Melow",221838,2
Luton,"Block 93, Yanek, Sp93, Tanto",218386,2
I Can Do It With a Broken Heart,Taylor Swift,211572,2
Otan,"Novel 729, Eversor",211568,2
Ap' To Vorra Mehri To Noto,Vasilis Karras,211049,2
Etoimase Mia Efchi,Kako,209870,3
née-nah,"21 Savage, Travis Scott, Metro Boomin",208760,2
Air Max,"LEX, Dof Twogee",206500,2
Tattooz,"ROPEX LATERIO, Lava, Sifis",203531,2
Houdini,Eminem,201832,2
Seven Figure Freestyle,Light,200367,1
Themata,"Lil Koni, Dirty Harry, Echo",197501,2
MF,Yolte,194683,2
TUCUTUM,Marina Satti,193192,2
Gia Ton Idio Anthropo Milame,"Vasilis Karras, Pantelis Pantelidis",193125,2
International Gangster,"Capital T, Light",192031,1
Holly Jolly Christmas,Michael Bublé,191997,2
Ferte Tin Piso,Petros Iakovidis,188451,2
ALLES GUT,"Marzi, GMBeaTz",188301,2
Fast Life,"Onad, Kest",188255,2
Ganador 2 - Intro,Fy,186751,1
Recital In D# Minor,"Beats Pliz, Ethismos",184961,2
Disease,Lady Gaga,184897,2
17/5,"VLOSPA, Oge",184557,1
TARANTINO,"Onad, MUNEYLXRD",179789,2
Never Mine,"King & Joker, Solven",178494,2
Alitis,"VLOSPA, Sin Laurent",175235,1
n.h.i.e.,"21 Savage, Doja Cat",175117,2
Mediterranean Scammers,VLOSPA,174339,1
Lacoste,"GAB, Yanek, Tanto, Block 93",173217,2
It's ok I'm ok,Tate McRae,172075,2
Tell Ur Girlfriend,Lay Bankz,171611,2
Jingle Bell Rock,Bobby Helms,170280,2
Pou Isoun?,"Logos Timis, Eleuthero Pneuma, Koraki, Sativa, Tokesick",168969,2
LOVE,"Sin Laurent, Oge, LILA",167931,1
LA VIDA LOCA,"Kidd, Fy",167878,1
Documento,"Ethismos, Melow",167612,1
Victoriam In F Minor,"Beats Pliz, Bloody Hawk",167287,2
Na Vreksei,"VLOSPA, Oge",167200,1
If We Being Rëal,Yeat,165839,2
Nea Sezon,HGEMONA$,165544,2
Polybag,"Ethismos, Tr4cer",164382,1
Favorite,Isabel LaRosa,162948,2
Era,"Ethismos, Tr4cer",162532,1
Monaxia,Giorgos Kakosaios,162354,2
EMENA H TO XRHMA,"Kidd, Saske, Destiny",161781,1
No Cap (Outro),Light,161764,1
Terra Dannata,"Tzamal, Ortiz",159531,1
Kane Mas Ti Hari,Giorgos Kakosaios,159076,2
Rap Game Dead,"Fy, Skive",158648,1
Oso I Ellada Me Megalone,"Tzamal, Ortiz",158442,1
Giatros,Hawk,157728,1
To Gramma,Sokratis Malamas,156932,2
XRISOS,Hawk,156133,1
Omorfi,Anastasia,155744,2
Athens Boys,"Ethismos, GoldenChild",154965,1
Blues For The Dogs,Hawk,153673,1
BARCA,"Bres, Marzi, Megrel",153650,2
Piesi,"Tzamal, mi368, Kess",152737,1
Cash Flow,"Ethismos, Solid",151811,1
High Heels,Hawk,151509,1
MIXED BY ERRY,Saske,151305,1
Elite,"VLOSPA, Oge",151096,1
Ergo (The Beginning),Bossikan,149657,2
GG Allin,Hawk,149334,1
Melagholia Mou,Nikos Oikonomopoulos,149223,2
VODKA,"Kidd, Destiny",148824,1
TRUSSARDI,"DIFF, Roi 6/12, BeTaf Beats",148178,2
SARANTARIA,"Dani Gambino, Bloody Hawk, Dj The Boy",146398,2
Aggelos Sti Gi,"Yolte, Lava, Paris Kalpos",145001,1
Teleutaia Selini,"Novel 729, Nosfer, Mr Storm",144540,1
Kodikas,"Tsaki, Hawk",143693,1
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",143679,2
ONE CALL,Rich Amiri,142949,2
wacced out murals,Kendrick Lamar,142726,1
Omixli,"Novel 729, Eversor",142455,1
Odos Monaxias,Nikos Oikonomopoulos,141580,2
Blu,Fy,140926,1
Parasita,"FANN, Dani Gambino, Th Mark",140459,1
Eleutheria h Thanatos,Hawk,139464,1
Iparho - Remastered,Stelios Kazantzidis,138635,1
ΠΟΡΣΕΛΑΝΗ,"Immune, Dani Gambino, Misk",138354,2
To Ktinos,"Tzamal, Sandal",138328,1
Sprinter,"Dave, Central Cee",137544,2
Ligmos,"Novel 729, Sativa",136352,1
Peristeri,Hawk,136120,1
Different,Light,135122,1
Thiella,"Novel 729, Nosfer",135102,1
Sexaki,"Sin Boy, Dj Stephan",134517,2
Ethismos,Fy,134009,1
Loco,"Alecc, Ggreco",133919,2
Hymn for the Weekend,Coldplay,133540,1
Ti Sou Kanei,"Ivi Adamou, Trannos, Foivos",132934,2
Resta,"Tzamal, Soume, Ortiz, Inver",131905,1
EKIBEN SMASH,"Saske, Kest",131414,1
9 Maiou,"Tzamal, Sandal",131188,1
BLICK,Yolte,131083,1
O Thrasis,"Negros Tou Moria, Saske, ODYDOZE",130622,1
PYRETOS,"Kidd, Oge",130055,1
Paparazzi,"luffex, umutlopes, wonken",129259,1
Anasana,"Novel 729, Tokesick",128206,1
Pineapple Haze,Hawk,127584,1
"So Long, London",Taylor Swift,127469,1
reincarnated,Kendrick Lamar,126204,1
Alloi Kosmoi,"FANN, RACK, Tr4cer",125373,1
SKINNY,Billie Eilish,124639,1
1000 Xiliometra - Bonus Track,Fy,123803,1
Max Payne,Hawk,122310,1
KANE MOU TI XARI,REC,121981,1
My Boy Only Breaks His Favorite Toys,Taylor Swift,121798,1
Mesa Sto Van,"Novel 729, Tokesick, Sativa",121750,1
Down Bad,Taylor Swift,121650,1
The Scientist,Coldplay,121133,1
WORLD STAR,Immune,120574,1
RODA,"Saske, Grandbois",120551,1
693,Hawk,119512,1
ARC DE TRIOMPHE,"Saske, Kest",119377,1
Malaga,Alecc,119377,1
Mi Rotas Ti Fovamai,"Tzamal, Ortiz, Sandal",119034,1
SORRY GIAUTO,Hawk,118859,1
Akrovatika,"Lava, ROPEX LATERIO, Paris Kalpos",118343,1
Something Just Like This,"The Chainsmokers, Coldplay",117936,1
Den Tha Xanagapiso,Stelios Kazantzidis,117852,1
Underneath the Tree,Kelly Clarkson,117545,1
Psyfunk,Fy,117200,1
Paradise,Coldplay,117158,1
Young Metro,"Future, Metro Boomin, The Weeknd",117149,1
hey now (feat. dody6),"Kendrick Lamar, Dody6",117036,1
ALE,"Strat, BeTaf Beats, Big Ben",116839,1
We Don't Trust You,"Future, Metro Boomin",116599,1
THE GREATEST,Billie Eilish,116008,1
L’AMOUR DE MA VIE,Billie Eilish,115242,1
Xenodohio,"Yolte, Ypo",114814,1
Clocks,Coldplay,114127,1
MANIA,Sigma,112768,1
MEMBERS' CLUB,"Sin Laurent, Oge",112514,1
The Tortured Poets Department,Taylor Swift,111767,1
GANG GANG - Remix,"Marzi, Bres, Verde, GMBeaTz",111474,1
PAPAPA,"Kidd, Bres, Echo",111451,1
ANAPNOH,Sigma,111385,1
Dale,"Yanek, Block 93",111298,1
Who’s Afraid of Little Old Me?,Taylor Swift,110942,1
Trito Skali,Marina Spanou,110597,1
Vittorio,"LEX, Dof Twogee",110444,1
Psixi Me Psixi,Giorgos Sabanis,110308,1
man at the garden,Kendrick Lamar,110258,1
Most Wanted,"Tanto, Block 93, Yanek, Sp93",110102,1
Pellegrino,"Mikros Kleftis, Dof Twogee",108775,1
LORA,"Feisty, ROPEX LATERIO, Paris Kalpos",108634,1
KRIMI 2,"Onad, Tr4cer",108202,1
Mullets,"Logos Timis, Koraki, Eleuthero Pneuma, Sativa, Tokesick, DJ Marvel",108114,1
The Christmas Song (Merry Christmas To You),Nat King Cole,108051,1
FUK SUMN,"¥$, Kanye West, Ty Dolla $ign",107972,1
Favlos Kyklos,Fy,107207,1
Cartier,Fy,107111,1
Errico's Freestyle,"Ethismos, Melow",105680,1
Mexri Telous,Nino Xypolitas,105313,1
Feliz Navidad,José Feliciano,105171,1
Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",104693,1
Total Black,Strat,104452,1
Mhn Metras Lefta,Yolte,104208,1
NECROPOLIS,Sigma,103981,1
Kano Ena Tsigaro Kai Fevgo,Vasilis Karras,103688,1
LEZVIA,Sin Boy,103097,1
High Risk,"Sp93, Block 93",102696,1
THE DINER,Billie Eilish,102439,1
But Daddy I Love Him,Taylor Swift,101202,1
Sleigh Ride,The Ronettes,101104,1
Euxes Kai Katares,"FANN, HGEMONA$, Mike G",100472,1
ALL RED,Playboi Carti,99930,1
FAST MOVES,"TAFF, Wang, Evan Spikes",99667,1
Timeout,Yolte,99555,1
Fix You,Coldplay,99364,1
Family Matters,Drake,99338,1
la noia,Angelina Mango,99224,1
Ainta Tzoni,"LEX, Dof Twogee",98979,1
LEAN TSOUNAMI,"HGEMONA$, Ggreco",98910,1
Ousia,Ellize,98603,1
ALITHEIA,"ROPEX LATERIO, Paris Kalpos",98264,1
James Jacob Williams,"Negros Tou Moria, ODYDOZE",97956,1
NARCOS,"HGEMONA$, Ggreco",97748,1
EAGLES,"Tanto, Block 93, Sp93",97239,1
To Pairno Pano Mou,Thodoris Ferris,97198,1
Vossi,"Yanek, Block 93, Tanto, Akidwithadream",97087,1
TRAP BABY,Bossikan,97050,1
heart pt. 6,Kendrick Lamar,96851,1
BITTERSUITE,Billie Eilish,96415,1
KANGAL,"Tanto, Block 93, Yanek",95733,1
Panselinos kai Tria Asteria,Marina Spanou,95506,1
Most Wanted,"Tanto, Block 93, Yanek, Sp93",95360,1
Illusion,Dua Lipa,94912,1
Maneken,"Thug Slime, Fy, Destiny",94338,1
Xrysopsara,Anna Vissi,93818,1
MONSTER,XRS,93785,1
PYREX,"HGEMONA$, Ggreco",93671,1
Ice Attack,"Future, Metro Boomin",93460,1
Too Sweet,Hozier,93256,1
Dostojevski,"Jala Brat, Light, Pyrex",93175,1
FIELD TRIP,"¥$, Kanye West, Ty Dolla $ign",93055,1
(It Goes Like) Nanana - Edit,Peggy Gou,92874,1
POSOSTA,Onad,92134,1
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",91465,1
We Will Rave,Kaleen,91374,1
On y Va,Marina Spanou,91157,1
COUPE,"Sigma, Beyond",91005,1
PLAYBOI,"Thug Slime, DJ Tune, Kimi",90920,1
Dyo Alania Sto Trap,"Negros Tou Moria, ODYDOZE, Evan SBK",90749,1
the boy is mine,Ariana Grande,90700,1
Vampire,"Bossikan, Tr4cer, Zissis",90509,1
Anastima,Dippy,90138,1
peekaboo (feat. azchike),"Kendrick Lamar, AZ Chike",89742,1
Lavara & Balaclava In C Minor,"Beats Pliz, Sadam",89497,1
BEFORE THE PARTY'S OVER,Mustii,89278,1
"yes, and?",Ariana Grande,89229,1
Tha Skotona,"Lava, ROPEX LATERIO, Paris Kalpos",88897,1
OPAP,"Generale, DIFF, Sanko",88204,1
Tijuana,The Dream X,88194,1
Dale,"Yanek, Block 93",88101,1
Bad Boy,"Yanek, Block 93, Rampo",87654,1
Vradiazei,Stelios Kazantzidis,87588,1
BARRIO,How,87173,1
Den Pao Pouthena,Vasilis Karras,86867,1
CASABLANCA,"Sin Laurent, Oge, Kareem Kalokoh",86861,1
Renaissance,Eminem,86751,1
Eisitirio gia Tino,Marina Spanou,86155,1
Luktelk,Silvester Belt,86133,1
We Still Don't Trust You,"Future, Metro Boomin, The Weeknd",85983,1
Kamia San Esena,Bossikan,85555,1
Guilty as Sin?,Taylor Swift,85203,1
Gramma,Marina Spanou,84907,1
Adventure of a Lifetime,Coldplay,84857,1
all of me,21 Savage,84831,1
Dromologia,HGEMONA$,84517,1
Fighter - Eurovision Version,TALI,84461,1
Habits,"Eminem, White Gold",84235,1
POLICIA,"Verde, Fy, Echo",84128,1
To Baloma,"Natassa Bofiliou, Themis Karamouratidis, Gerasimos Evangelatos",83911,1
Poli Tou Atofiou Kakou In E Minor,"Beats Pliz, Dani Gambino",83835,1
Apocalypse,Cigarettes After Sex,83646,1
Planitis Gi,Nikos Apergis,83443,1
MASTOUROMENIA,"DAMIAN, GMBeaTz",83388,1
Kapos Allios vol. 11,"Negros Tou Moria, ODYDOZE",83053,1
T aneipota,Dimitris Zervoudakis,83049,1
The Smallest Man Who Ever Lived,Taylor Swift,83032,1
ZORRA,Nebulossa,82840,1
TROIKA,Sin Boy,82782,1
MATRIX,"Hawk, Smuggler, Dof Twogee",82710,1
TAXIDI STO DIASTIMA,"Sigma, Beyond",82584,1
Fotia,"Logos Timis, Eleuthero Pneuma, Koraki, Sativa, Tokesick",82487,1
BURN,"¥$, Kanye West, Ty Dolla $ign",82160,1
Gioconda,Immune,81845,1
By Killian,"FANN, Greco Beats",81614,1
loml,Taylor Swift,81200,1
SMERT MUSARAM,"Tanto, Block 93, mi368",81082,1
Year Two,"Tsaki, DVMN BOI",81028,1
White Christmas - 1947 Version,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",80845,1
JARHEADS,"Kareem Kalokoh, Moose, Light",80743,1
420 Freestyle,"Mef, Lindo",80497,1
Millionaire,SNIK,80397,1
PALI,Marina Satti,80268,1
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",80259,1
CABARET,"Ross, YungKapa, Hantze",79782,1
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",79676,1
Fwnes Ap' Ta Ypogeia,"FANN, Greco Beats",79550,1
Zamka,"Voyage, SNIK",79536,1
Night Changes,One Direction,79187,1
Guess featuring billie eilish,"Charli xcx, Billie Eilish",79180,1
Amiri,"Yanek, Block 93, Bossikan, Srcalex, Ank Beats",79082,1
Louloudi Tou Dromou,"Panos Kanatas, Danai Mamakou",78930,1
STARS,"¥$, Kanye West, Ty Dolla $ign",78774,1
meet the grahams,Kendrick Lamar,78594,1
Protimo,Anna Vissi,78544,1
Jump,"Tyla, Gunna, Skillibeng",78540,1
sneaky,21 Savage,78432,1
Gen Z Luv,Central Cee,78344,1
Nicky Jam,"DJ.Silence, RICTA",78296,1
gloria (with sza),"Kendrick Lamar, SZA",78145,1
"gnx (feat. hitta j3, youngthreat, peysoh)","Kendrick Lamar, Hitta J3, YoungThreat, Peysoh",77728,1
BACK TO ME,"¥$, Kanye West, Ty Dolla $ign",77682,1
TALKING,"¥$, Kanye West, Ty Dolla $ign",77353,1
ISLAMABAD,Dani Gambino,77151,1
Tony Montana,"Vall, Luv Records",76474,1
Bogotá,"Slogan, RAF",76076,1
Heavy Is the Crown,Linkin Park,76029,1
Louloudi,Bloody Hawk,76012,1
Smart,"Twelvee, Stolou",75977,1
Tracer,"FANN, Niko Malteze",75897,1
one of wun,Gunna,75455,1
Le Monde Est a Nous (POV),Tzamal,75419,1
City Hot,HGEMONA$,75369,1
Elpida,Konstantinos Argiros,75104,1
pop ur shit,"21 Savage, Young Thug, Metro Boomin",75031,1
MIAMI,YungKapa,74804,1
bye,Ariana Grande,74783,1
36 Xeimones,"Tsaki, Masla.G",74445,1
BLUE NOTE,"Hawk, Baghdad",74335,1
Please Please Please,Sabrina Carpenter,74310,1
Kornaro - Remix,"Josephine, Ivan Greko, Stathis Xenos",74203,1
Thelei Tattoo,"RACK, Oge",73759,1
Opos Palia,Vasilis Karras,73527,1
Camorra,"Sp93, Alecc, Soume, mi368",73072,1
Flowers,Miley Cyrus,72998,1
GRAMMA,Sicario,72665,1
DAN,"XRS, KSF, Saxpas",72247,1
true story,Ariana Grande,72108,1
Ola Kala,Trannos,71902,1
Say What,"Rampa, Adam Port, &ME, chuala, Keinemusik",71002,1
Itheles Na Mplekseis,Kako,70320,1
Doro Gia Sena,Nikos Oikonomopoulos,70234,1
NEW DROP,Don Toliver,70061,1
19,Kidd,69362,1
Eglima Kardias,Nikos Oikonomopoulos,69281,1
Drop,"Immune, RACK, Chico Beatz",65726,1
Poutana Amnisia,Paris Evaggelou,65498,1
Wet,"SNIK, TOQUEL, MG, GAMEBOY",64819,1
Holdem,"LEX, Dof Twogee",63662,1
Siko Kardia Mou,Giorgos Kakosaios,62739,1
