track_name,artist_names,total_streams_2024,weeks_in_top200_2024
Sandra,TOQUEL,4685407,48
0-100,Fy,4656959,7
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",4599262,23
SOS,"Kidd, Lil Koni",4589737,23
Lebron,"FLY LO, Mike G",4548461,12
Panorama,"TOQUEL, Sin Laurent",4515820,48
ERIMO,SIDARTA,4472542,48
MONROE,"Hawk, TOQUEL, Baghdad",4457169,30
Alitheia,"Bossikan, Aspa",4426692,17
Kokkina Fanaria,APON,4355267,39
9MM,"RACK, Oge",4348285,37
Eftihismenes Imeres In C Minor,"Beats Pliz, LEX",4292160,47
Mystiko,Anastasia,4264417,41
Feggari,APON,4250677,27
I Gineka Tis Zois Sou,Katerina Lioliou,4247799,36
Love Me,Roi 6/12,4242968,25
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",4223446,44
CREW,"Bloody Hawk, Dani Gambino, Wang",4162701,21
Alli Mia Fora,"Konstantinos Argiros, Light",4140141,20
KOINO MYSTIKO,"LILA, Beyond, Sin Laurent",4126966,13
Kalokairi,Trannos,4115420,20
Xeiroteri Genia,"LEX, Dof Twogee",4042045,5
RATATA,"Kidd, Venom, Oge",4003117,15
GUZMAN,"Ivan Greko, Arab, Sanko",3999409,4
Titan,"Sadam, Solid",3927438,36
Ecstasy,"SNIK, Marseaux, 2nd Roof",3926762,18
Gata Only,"FloyyMenor, Cris Mj",3888828,17
TMC,"FLY LO, Mike G",3865101,23
AMOR,"RACK, Beyond",3838165,46
KSIRASIA,"Dani Gambino, Th Mark",3827081,25
MOU ZITAS,"TOQUEL, FLY LO, Beyond",3801306,4
XWRIS,"Kidd, Echo",3787776,13
MOTORA,"Bres, Verde",3778206,19
Pali Pali,Thodoris Ferris,3762085,35
BEKO,"Kidd, Onad",3749354,18
PULVO,"Ivan Greko, SNIK, BeTaf Beats",3745325,12
AIORA,"Lobo, Mente Fuerte, Giorgos Orfanidis",3705330,18
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",3681731,39
Die With A Smile,"Lady Gaga, Bruno Mars",3681663,19
Filakes,"Strat, Mad Clip",3657013,42
BABAS,"Bossikan, FLY LO, Trannos",3640335,18
XADV,"Ivan Greko, BeTaf Beats",3604802,22
GIA TI FANELA,"RACK, Bloody Hawk, Beyond",3581747,16
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",3555043,30
ROLLS ROYCE,"Strat, DIFF",3546465,20
KOPRITIS,"Bossikan, FLY LO",3519133,15
Aristourgima,"Eleni Foureira, ARCADE",3481157,18
Blue Iguana,Hawk,3472122,24
Oulala,"Mente Fuerte, RACK, Beyond",3466498,34
Kataramenos,Roi 6/12,3462400,6
Mf,"SNIK, TOQUEL",3450986,17
TANAPU,"DIFF, Ivan Greko, Spize, BeTaf Beats",3409899,21
Asta Afta,"Arab, Big Skendo",3372947,26
FREESTYLE,FLY LO,3328687,22
Stars,"TOQUEL, Light",3326106,39
De Me Ksereis Kala,"Wang, DJ Cron, Mateos Nps",3317453,25
El Paso,"FLY LO, Stanley",3291155,34
BANSKO,"DIFF, Sanko",3260193,19
24hrs,"Light, Trannos",3249594,34
Ανισόπεδη Ντίσκο,"Pan Pan, Kalliopi Mitropoulou",3206626,23
PELIGROSA,"TOQUEL, FLY LO, Beyond",3197417,4
BAM BAM,"RACK, LILA, Beyond",3180382,16
Hotel California,"Light, Tayna",3152138,13
Ekptotos Aggelos,Nikos Oikonomopoulos,3149262,19
Asfaltos,"TOQUEL, Beyond",3133150,19
MI TESORO,"Saske, Ramoon",3084957,22
MEDITERRANEAN,"SIDARTA, Saske, Beyond",3031548,35
NEOI STO NOSOKOMEIO,"Dani Gambino, Wang, Dj The Boy",3025944,33
Not Like Us,Kendrick Lamar,3011287,22
i like the way you kiss me,Artemas,3002170,15
Oti Kai Na Ginei,Bloody Hawk,2995464,26
Amarties,"Wang, Mateos Nps",2985193,14
Beautiful Things,Benson Boone,2957121,29
Floga,Anastasia,2911160,22
Sinthikes,Mad Clip,2894525,36
An Apopse Figo,Bloody Hawk,2849183,32
