artist_name,total_streams_2024,weeks_in_top200_2024
Tsaki,938991,7
Mariah Carey,915676,6
Negros Tou Moria,904356,8
Lost Frequencies,902811,11
DJ PaCo,872713,10
Jack Harlow,870817,10
Brenda Lee,844197,7
Gracie Abrams,842256,8
Baby Lasagna,809846,4
Quicksilver Beats,800347,6
Ndotz,792047,9
Leaderbrain,789009,9
Bobby Helms,758555,6
Stromae,752602,5
League of Legends,752602,5
Pomme,752602,5
Arcane,752602,5
Dj Omonoia,730931,4
Joost,728703,4
dPans,728454,7
Tyla,717220,9
Gosei,712337,4
Ellize,709284,6
Kess,706450,6
Baby Gang,705774,8
Bobo,705774,8
YT K,705386,4
BTK 187,698910,5
GAB,697964,6
Dirty Harry,691088,6
XRS,690779,6
Michael Bublé,672181,7
Foivos,635026,7
Solmeister,627752,3
Lefty Gunplay,625796,5
Petros Iakovidis,624993,7
Mel,617972,7
Phen,612256,6
*NSYNC,609931,6
Drake,608822,7
Bexli,598978,5
Jerry Heil,597177,3
alyona alyona,597177,3
Mef,583882,5
DJ.Silence,569593,7
Camila Cabello,563180,6
Alitiz,552749,3
BandoleRo,541404,6
Croco,541404,6
Kareem Kalokoh,539303,5
Josephine,534230,7
K Koke,530930,3
Dean Martin,524155,5
SZA,520642,5
Linkin Park,517539,5
D-Block Europe,514017,6
RAYE,514017,6
cassö,514017,6
Yll Limani,510290,6
Quavo,504041,4
Lana Del Rey,504041,4
Tom Odell,502707,6
Marilena,488935,3
Post Malone,480568,4
Matolale,472339,3
Marzi,453425,5
Gamecue,451199,3
Yeat,449222,6
Feisty,436295,3
Jordan Adetunji,433193,5
The Chainsmokers,432161,5
Karma Beats,429107,3
Tania Breazou,425448,5
Helen Tesfazghi,421908,5
Emanuele Esposito,421908,5
Gianni Romano,421908,5
Moose,418974,5
prodmxrio,417080,2
Longlive,415059,5
Retro,415059,5
Flo Milli,410497,5
Pyrex,406235,5
Jala Brat,406235,5
Sia,405422,4
ODYDOZE,402380,4
Calum Scott,400104,5
Harry Styles,400036,5
Andy Williams,399602,4
Doja Cat,397149,5
Sokratis Malamas,393329,4
GMBeaTz,383163,4
rigasbeats,375631,3
