Country,Asylum_Applications_Per_HundredThousand_Habitants_2024
Αυστρία,277.0
Βέλγιο,335.0
Βουλγαρία,190.0
Κύπρος,950.0
Τσεχία,12.0
Γερμανία,300.0
Δανία,39.0
Εσθονία,99.0
Ελλάδα,708.0
Ισπανία,342.0
Φινλανδία,52.0
Γαλλία,231.0
Κροατία,29.0
Ουγγαρία,0.0
Ιρλανδία,347.0
Ιταλια,269.0
Λιθουανία,12.0
Λουξεμβούργο,328.0
Λετονία,56.0
Μάλτα,124.0
Ολλανδία,187.0
Πολωνία,46.0
Πορτογαλία,25.0
Ρουμανία,13.0
Σουηδία,106.0
Σλοβενία,265.0
Σλοβακία,3.0
