date,Αυστρία,Βέλγιο,Βουλγαρία,Κύπρος,Τσεχία,Γερμανία,Δανία,Εσθονία,Ελλάδα,Ισπανία,E.E.,Φινλανδία,Γαλλία,Κροατία,Ουγγαρία,Ιρλανδία,Ιταλια,Λιθουανία,Λουξεμβούργο,Λετονία,Μάλτα,Ολλανδία,Πολωνία,Πορτογαλία,Ρουμανία,Σουηδία,Σλοβενία,Σλοβακία
2008,153.47,149.43,9.91,504.94,15.95,32.77,43.37,1.12,179.78,9.89,,71.13,65.38,,31.61,86.7,51.09,16.19,94.05,2.51,638.74,92.96,22.34,1.52,5.72,270.88,12.93,16.83
2009,189.74,213.47,11.45,401.54,11.94,40.29,68.49,2.99,143.54,6.5,,107.02,74.01,,46.56,59.5,29.88,14.13,98.28,2.77,580.4,97.87,27.78,1.33,4.72,262.09,9.84,15.23
2010,132.43,245.02,13.81,350.98,7.55,59.4,92.15,2.63,92.41,5.9,,68.67,81.54,,21.02,42.64,16.84,15.75,156.35,3.07,42.27,91.1,17.2,1.51,4.36,341.95,11.97,10.02
2011,172.59,293.35,12.08,210.78,7.2,66.5,71.66,4.89,83.7,7.33,,55.35,88.24,,16.97,28.22,67.31,17.2,421.03,16.39,455.43,87.6,18.1,2.6,8.52,315.54,17.56,9.09
2012,207.54,255.56,18.9,189.67,7.19,96.67,108.86,5.66,86.37,5.48,,57.67,94.14,,21.7,20.81,28.87,21.47,391.54,10.03,498.15,78.27,28.26,2.79,12.49,463.42,14.84,13.51
2013,207.29,190.56,99.2,145.45,6.75,157.71,129.05,7.2,74.75,9.62,,59.34,101.01,25.42,191.0,20.5,44.16,13.45,199.24,9.64,533.85,77.83,40.05,4.81,7.47,568.92,13.11,8.13
2014,329.87,204.37,155.67,202.9,10.99,251.11,261.5,11.78,86.35,12.08,,66.5,97.19,10.67,434.25,31.26,107.09,14.93,209.21,18.74,315.31,145.55,21.11,4.26,7.75,843.19,18.68,6.09
2015,1027.15,398.32,290.06,263.11,14.47,586.99,370.51,17.49,121.62,31.85,,591.13,114.61,5.02,1804.58,70.01,138.55,10.76,444.97,16.62,420.46,266.08,32.07,8.61,6.34,1667.63,13.33,6.09
2016,486.01,162.01,279.88,340.37,14.02,906.92,108.55,13.3,473.95,33.94,,102.51,126.46,53.86,300.93,47.5,204.38,14.85,374.84,17.78,429.24,123.36,32.41,14.13,9.51,292.96,63.46,2.67
2017,281.95,161.83,53.95,528.81,13.71,269.78,56.27,14.44,544.75,78.74,,91.22,148.68,23.9,34.86,61.05,214.52,19.06,412.25,18.2,400.54,106.61,13.31,16.92,24.51,263.83,71.4,3.04
2018,155.8,197.96,37.51,883.79,16.02,222.53,62.27,7.2,623.54,115.9,,81.9,205.39,19.93,6.9,75.58,100.02,14.33,387.87,9.56,448.57,139.83,10.84,12.43,10.93,283.19,139.1,3.22
2019,145.45,240.1,32.26,1533.37,18.03,199.57,47.19,7.93,720.63,251.1,,82.19,224.5,35.28,5.15,96.76,73.18,22.94,369.77,10.16,829.67,146.16,10.74,17.61,13.34,296.82,183.57,4.22
2020,165.99,145.24,53.66,830.54,10.89,146.71,25.59,3.76,378.41,187.12,,58.01,138.13,40.8,1.19,31.22,45.19,11.21,214.82,9.44,481.69,88.01,7.35,9.64,31.84,195.93,169.38,5.13
2021,447.01,216.66,168.4,1494.85,13.44,229.23,35.96,6.01,265.53,137.79,,45.9,178.22,65.5,0.41,52.3,90.5,140.18,223.72,32.48,309.03,151.96,21.07,14.82,49.92,196.74,251.31,6.78
2022,1250.37,316.72,314.54,2386.63,16.07,292.99,78.23,221.13,357.37,248.41,,104.63,229.94,70.68,0.47,265.02,142.79,36.53,381.16,33.05,253.76,210.68,26.63,20.34,64.88,228.13,321.99,10.03
2023,650.54,299.97,349.12,1254.89,12.98,423.01,41.8,291.75,616.77,337.81,,96.24,244.67,45.44,0.31,251.83,230.21,20.12,406.32,89.85,157.73,223.2,25.83,25.63,52.98,161.95,342.94,7.64
2024,276.89,334.77,190.21,950.47,12.48,300.3,38.75,98.57,708.46,341.79,,52.46,230.11,28.87,0.31,346.9,268.95,12.47,328.1,55.46,124.24,186.79,46.18,25.28,12.59,105.53,265.31,3.04
