Country,Asylum_Applications_Per_HundredThousand_Habitants_2022
Αυστρία,1250.0
Βέλγιο,317.0
Βουλγαρία,315.0
Κύπρος,2387.0
Τσεχία,16.0
Γερμανία,293.0
Δανία,78.0
Εσθονία,221.0
Ελλάδα,357.0
Ισπανία,248.0
Φινλανδία,105.0
Γαλλία,230.0
Κροατία,71.0
Ουγγαρία,0.0
Ιρλανδία,265.0
Ιταλια,143.0
Λιθουανία,37.0
Λουξεμβούργο,381.0
Λετονία,33.0
Μάλτα,254.0
Ολλανδία,211.0
Πολωνία,27.0
Πορτογαλία,20.0
Ρουμανία,65.0
Σουηδία,228.0
Σλοβενία,322.0
Σλοβακία,10.0
