Country,Asylum_Applications_Per_HundredThousand_Habitants_2023
Αυστρία,651.0
Βέλγιο,300.0
Βουλγαρία,349.0
Κύπρος,1255.0
Τσεχία,13.0
Γερμανία,423.0
Δανία,42.0
Εσθονία,292.0
Ελλάδα,617.0
Ισπανία,338.0
Φινλανδία,96.0
Γαλλία,245.0
Κροατία,45.0
Ουγγαρία,0.0
Ιρλανδία,252.0
Ιταλια,230.0
Λιθουανία,20.0
Λουξεμβούργο,406.0
Λετονία,90.0
Μάλτα,158.0
Ολλανδία,223.0
Πολωνία,26.0
Πορτογαλία,26.0
Ρουμανία,53.0
Σουηδία,162.0
Σλοβενία,343.0
Σλοβακία,8.0
