Country,Total_Applicants_2008_2025
Συρία,131185.0
Λοιπές Χώρες,124620.0
Αφγανιστάν,119990.0
Πακιστάν,72625.0
Ιράκ,50050.0
Αίγυπτος,28920.0
Μπανγκλαντές,26175.0
Τουρκία,24615.0
Παλαιστίνη,21855.0
Αλβανία,21575.0
Γεωργία,18415.0
Σομαλία,15680.0
