date,EL,EU27_2020
2000,13739.34,
2001,14526.15,
2002,15980.19,
2003,17139.16,
2004,18273.45,
2005,18481.27,
2006,19551.73,
2007,19126.28,
2008,19280.13,
2009,19413.37,
2010,19021.89,
2011,18002.12,
2012,17806.88,
2013,17143.13,20607.5
2014,18109.75,20945.14
2015,17713.94,21333.77
2016,17114.35,21593.01
2017,17137.19,21957.63
2018,17098.56,22538.28
2019,17343.79,23161.2
2020,16215.43,23306.49
2021,17216.73,24216.83
2022,17463.44,25596.24
