date,EL,EU27_2020
2000,29564.05,
2001,31284.37,
2002,34402.59,
2003,36916.47,
2004,39427.94,
2005,39867.86,
2006,42227.21,
2007,41340.81,
2008,41728.81,
2009,42089.45,
2010,41220.17,
2011,39041.51,
2012,38619.74,
2013,36792.52,41245.1
2014,38885.36,41926.53
2015,38478.3,42718.66
2016,37144.35,43218.75
2017,37205.74,43942.64
2018,37128.15,45141.54
2019,37760.73,46380.5
2020,35127.5,46630.27
2021,35891.68,48720.04
