date,EL,EU27_2020
2000,12120.3,
2001,12441.43,
2002,13516.7,
2003,14856.55,
2004,16167.67,
2005,16572.52,
2006,17630.26,
2007,17790.0,
2008,17896.82,
2009,18510.86,
2010,18567.36,
2011,17573.29,
2012,17136.81,
2013,15845.09,21206.51
2014,16069.85,21516.16
2015,15627.52,21902.6
2016,15006.72,22187.69
2017,14898.2,22531.14
2018,14850.01,23102.85
2019,15075.5,23767.4
2020,14325.38,23897.86
2021,14607.91,24946.51
