date,EL,EU27_2020
2000,14165.36,
2001,14537.8,
2002,15792.39,
2003,17435.91,
2004,19009.25,
2005,19473.33,
2006,20645.07,
2007,21233.74,
2008,21369.81,
2009,22114.53,
2010,22151.82,
2011,20909.69,
2012,20392.35,
2013,17647.6,25433.9
2014,17894.83,25772.43
2015,17611.87,26220.95
2016,17030.99,26721.34
2017,16911.62,27150.47
2018,17226.61,27776.43
2019,17474.65,28607.63
2020,16630.81,29054.27
2021,16968.0,29996.15
