date,EL,EU27_2020
2000,26080.23,
2001,26794.59,
2002,29099.09,
2003,31999.97,
2004,34884.42,
2005,35750.35,
2006,38077.37,
2007,38452.45,
2008,38734.73,
2009,40132.88,
2010,40220.95,
2011,38088.98,
2012,37140.53,
2013,34015.2,42452.28
2014,34509.67,43072.68
2015,33943.75,43850.84
2016,32581.98,44419.18
2017,32343.25,45106.4
2018,32237.22,46250.72
2019,32733.3,47582.44
2020,30999.63,47840.71
2021,31674.01,49937.31
