date,EL,EU27_2020
2000,29564.09,
2001,31284.33,
2002,34402.51,
2003,36916.54,
2004,39427.98,
2005,39867.91,
2006,42227.25,
2007,41340.67,
2008,41728.59,
2009,42089.54,
2010,41205.47,
2011,39018.36,
2012,38592.74,
2013,36801.64,41257.01
2014,38890.18,41935.72
2015,38475.55,42718.29
2016,37158.07,43234.34
2017,37204.37,43962.05
2018,37119.0,45138.51
2019,37658.38,46409.86
2020,35068.72,46661.59
2021,38380.62,48486.48
2022,41254.15,51234.8
2023,43347.4,55117.88
