date,EL,EU27_2020
2000,28125.29,
2001,28870.18,
2002,31374.78,
2003,34579.33,
2004,37726.0,
2005,38651.15,
2006,40994.64,
2007,41896.19,
2008,42207.71,
2009,43736.55,
2010,43771.73,
2011,41425.38,
2012,40390.7,
2013,34015.2,45190.71
2014,34509.67,45826.2
2015,33943.75,46665.65
2016,32781.98,47386.87
2017,32543.25,48137.43
2018,32437.22,49337.31
2019,32933.3,50824.11
2020,31245.63,51300.41
2021,33044.01,53283.59
2022,33520.64,55573.46
