date,EL,EU27_2020
2000,31882.5,
2001,33708.65,
2002,37093.76,
2003,39892.3,
2004,42639.51,
2005,43103.7,
2006,45462.71,
2007,45043.31,
2008,45471.39,
2009,45868.92,
2010,44843.35,
2011,42366.8,
2012,41921.37,
2013,36720.04,43967.46
2014,38890.98,44604.36
2015,38411.75,45367.1
2016,37318.6,46090.38
2017,37347.04,46877.45
2018,37349.29,48125.7
2019,37982.1,49511.17
2020,35153.01,50257.49
2021,38260.43,52060.57
2022,41550.93,55284.58
2023,44412.56,58944.03
