date,EL,EU27_2020
2000,16057.58,
2001,16973.79,
2002,18670.66,
2003,20114.78,
2004,21485.11,
2005,21716.15,
2006,22895.06,
2007,22828.71,
2008,23021.64,
2009,23192.66,
2010,22702.14,
2011,21432.6,
2012,21204.53,
2013,19088.52,24673.53
2014,20163.82,25042.38
2015,19964.64,25493.88
2016,19415.79,26069.17
2017,19454.12,26543.48
2018,19840.18,27173.33
2019,20158.54,27902.8
2020,18845.35,28369.89
2021,19227.44,29340.07
