date,EL,EU_median
2002,-11167.0,-575.8
2003,-15118.0,-944.5
2004,-14936.0,-1248.15
2005,-17672.0,-1549.9
2006,-25025.0,-2554.4
2007,-35341.0,-3302.5
2008,-36570.0,-3535.0
2009,-29323.0,-1169.4
2010,-22648.0,-414.5
2011,-17831.0,-778.0
2012,-6666.0,-357.8
2013,-2588.0,1271.1
2014,-1319.0,908.4
2015,-1438.0,905.0
2016,-3049.0,1476.1
2017,-3407.0,2372.7
2018,-5231.0,734.0
2019,-2725.0,1504.0
2020,-10964.0,2300.2
2021,-12271.0,823.0
2022,-21226.0,-2299.0
2023,-13931.0,811.2
2024,-15264.0,2665.0
