date,AL,BE,BG,CY,CZ,DE,EE,EL,ES,FR,HR,HU,IE,LT,LU,LV,MD,ME,MK,MT,NL,PL,PT,RO,RS,SI,SK,TR,UA,UK,US
2011-S2,141.0,1444.0,123.0,,329.0,,278.0,877.0,748.0,1365.0,380.0,293.0,1462.0,232.0,1758.0,282.0,36.0,,,665.0,1435.0,347.0,566.0,158.0,235.0,748.0,317.0,356.0,83.0,1084.0,869.0
2012-S1,144.0,1444.0,138.0,,310.0,,290.0,877.0,748.0,1398.0,373.0,296.0,1462.0,232.0,1801.0,286.0,40.0,,,685.0,1447.0,336.0,566.0,162.0,230.0,763.0,327.0,363.0,104.0,1202.0,971.0
2012-S2,152.0,1472.0,148.0,,312.0,,290.0,684.0,748.0,1426.0,374.0,323.0,1462.0,232.0,1801.0,287.0,39.0,,,685.0,1456.0,353.0,566.0,157.0,235.0,763.0,327.0,412.0,111.0,1244.0,998.0
2013-S1,150.0,1502.0,159.0,,318.0,,320.0,684.0,753.0,1430.0,372.0,335.0,1462.0,290.0,1874.0,287.0,38.0,,199.0,703.0,1469.0,393.0,566.0,158.0,239.0,784.0,338.0,416.0,109.0,1250.0,952.0
2013-S2,156.0,1502.0,159.0,,308.0,,320.0,684.0,753.0,1430.0,401.0,332.0,1462.0,290.0,1874.0,285.0,37.0,288.0,199.0,703.0,1478.0,369.0,566.0,179.0,236.0,784.0,338.0,405.0,110.0,1190.0,961.0
2014-S1,157.0,1502.0,174.0,,310.0,,355.0,684.0,753.0,1445.0,396.0,342.0,1462.0,290.0,1921.0,320.0,33.0,288.0,214.0,718.0,1486.0,404.0,566.0,190.0,235.0,789.0,352.0,362.0,110.0,1251.0,911.0
2014-S2,157.0,1502.0,174.0,,310.0,,355.0,684.0,753.0,1445.0,398.0,328.0,1462.0,290.0,1921.0,320.0,31.0,288.0,213.0,718.0,1495.0,404.0,566.0,205.0,233.0,789.0,352.0,391.0,76.0,1301.0,920.0
2015-S1,157.0,1502.0,184.0,,332.0,1444.0,390.0,684.0,757.0,1458.0,396.0,333.0,1462.0,300.0,1923.0,360.0,53.0,288.0,214.0,720.0,1502.0,410.0,589.0,218.0,235.0,791.0,380.0,424.0,63.0,1379.0,1035.0
2015-S2,157.0,1502.0,194.0,,338.0,1444.0,390.0,684.0,757.0,1458.0,399.0,333.0,1462.0,325.0,1923.0,360.0,48.0,288.0,227.0,720.0,1508.0,418.0,589.0,235.0,236.0,791.0,380.0,425.0,52.0,1510.0,1123.0
2016-S1,160.0,1502.0,215.0,,366.0,1444.0,430.0,684.0,764.0,1467.0,408.0,351.0,1546.0,350.0,1923.0,370.0,47.0,288.0,227.0,728.0,1525.0,434.0,618.0,232.0,234.0,791.0,405.0,519.0,53.0,1512.0,1154.0
2016-S2,160.0,1532.0,215.0,,365.0,1444.0,430.0,684.0,764.0,1467.0,414.0,350.0,1546.0,380.0,1923.0,370.0,45.0,288.0,236.0,728.0,1537.0,417.0,618.0,276.0,230.0,791.0,405.0,514.0,53.0,1443.0,1132.0
2017-S1,163.0,1532.0,235.0,,407.0,1506.0,470.0,684.0,826.0,1480.0,433.0,412.0,1563.0,380.0,1999.0,380.0,48.0,288.0,241.0,736.0,1552.0,453.0,650.0,275.0,248.0,805.0,435.0,479.0,113.0,1393.0,1192.0
2017-S2,181.0,1563.0,235.0,,420.0,1506.0,470.0,684.0,826.0,1480.0,442.0,413.0,1563.0,380.0,1999.0,380.0,48.0,288.0,278.0,736.0,1565.0,473.0,650.0,319.0,253.0,805.0,435.0,443.0,107.0,1414.0,1101.0
2018-S1,181.0,1563.0,261.0,,478.0,1506.0,500.0,684.0,859.0,1498.0,462.0,445.0,1614.0,400.0,1999.0,430.0,49.0,288.0,279.0,748.0,1578.0,503.0,677.0,408.0,285.0,843.0,480.0,446.0,111.0,1400.0,1048.0
2018-S2,191.0,1563.0,261.0,,469.0,1506.0,500.0,684.0,859.0,1498.0,466.0,418.0,1614.0,400.0,1999.0,430.0,51.0,288.0,279.0,748.0,1594.0,480.0,677.0,407.0,283.0,843.0,480.0,380.0,122.0,1467.0,1078.0
2019-S1,211.0,1594.0,286.0,,519.0,1561.0,540.0,684.0,1050.0,1521.0,506.0,464.0,1656.0,555.0,2090.0,430.0,51.0,288.0,292.0,762.0,1616.0,523.0,700.0,446.0,308.0,887.0,520.0,422.0,132.0,1453.0,1098.0
2019-S2,212.0,1594.0,286.0,,525.0,1561.0,540.0,758.0,1050.0,1521.0,507.0,461.0,1656.0,555.0,2090.0,430.0,48.0,331.0,341.0,762.0,1636.0,529.0,700.0,439.0,308.0,887.0,520.0,390.0,140.0,1517.0,1104.0
2020-S1,213.0,1594.0,312.0,,575.0,1544.0,584.0,758.0,1108.0,1539.0,546.0,487.0,1656.0,607.0,2142.0,430.0,52.0,331.0,343.0,777.0,1654.0,611.0,741.0,466.0,344.0,941.0,580.0,440.0,183.0,1599.0,1119.0
2020-S2,209.0,1626.0,312.0,,546.0,1544.0,584.0,758.0,1108.0,1539.0,546.0,452.0,1707.0,607.0,2142.0,430.0,51.0,331.0,342.0,777.0,1680.0,583.0,741.0,461.0,344.0,941.0,580.0,383.0,158.0,1583.0,1122.0
2021-S1,243.0,1626.0,332.0,,579.0,1585.0,584.0,758.0,1108.0,1555.0,563.0,442.0,1724.0,642.0,2202.0,500.0,47.0,331.0,353.0,785.0,1685.0,614.0,776.0,458.0,366.0,1024.0,623.0,393.0,173.0,,1024.0
2021-S2,245.0,1626.0,332.0,,596.0,1602.0,584.0,758.0,1108.0,1555.0,567.0,476.0,1724.0,642.0,2202.0,500.0,47.0,331.0,359.0,785.0,1701.0,619.0,776.0,467.0,366.0,1024.0,623.0,347.0,186.0,,1057.0
2022-S1,248.0,1658.0,332.0,,652.0,1634.0,654.0,774.0,1126.0,1603.0,624.0,542.0,1775.0,730.0,2257.0,500.0,50.0,533.0,359.0,792.0,1725.0,655.0,823.0,515.0,401.0,1074.0,646.0,328.0,210.0,,1110.0
2022-S2,269.0,1842.0,363.0,,655.0,1739.0,654.0,832.0,1167.0,1646.0,622.0,504.0,1775.0,730.0,2313.0,500.0,50.0,533.0,428.0,792.0,1756.0,642.0,823.0,516.0,402.0,1074.0,646.0,374.0,211.0,,1210.0
2023-S1,298.0,1955.0,399.0,940.0,717.0,1997.0,725.0,832.0,1167.0,1709.0,700.0,579.0,1910.0,840.0,2387.0,620.0,196.0,533.0,430.0,835.0,1934.0,746.0,887.0,606.0,460.0,1203.0,700.0,501.0,172.0,,1178.0
2023-S2,376.0,1955.0,399.0,940.0,729.0,1997.0,725.0,910.0,1260.0,1747.0,700.0,624.0,1910.0,840.0,2508.0,620.0,200.0,533.0,483.0,835.0,1995.0,811.0,887.0,604.0,461.0,1203.0,700.0,474.0,168.0,,1157.0
2024-S1,385.0,1994.0,477.0,1000.0,764.0,2054.0,820.0,910.0,1323.0,1767.0,840.0,697.0,2146.0,924.0,2571.0,700.0,258.0,533.0,484.0,925.0,2070.0,978.0,957.0,663.0,544.0,1254.0,750.0,613.0,168.0,,1137.0
2024-S2,399.0,2070.0,477.0,1000.0,755.0,2054.0,820.0,968.0,1323.0,1767.0,840.0,675.0,2146.0,924.0,2571.0,700.0,261.0,533.0,542.0,925.0,2134.0,998.0,957.0,743.0,544.0,1254.0,750.0,568.0,185.0,,1174.0
2025-S1,408.0,2070.0,551.0,1000.0,826.0,2161.0,886.0,968.0,1381.0,1802.0,970.0,707.0,2282.0,1038.0,2638.0,740.0,285.0,670.0,542.0,961.0,2193.0,1091.0,1015.0,814.0,619.0,1278.0,816.0,708.0,182.0,,1210.0
2025-S2,408.0,2112.0,551.0,1000.0,841.0,2161.0,886.0,1027.0,1381.0,1802.0,970.0,727.0,2282.0,1038.0,2704.0,740.0,279.0,670.0,584.0,961.0,2246.0,1100.0,1015.0,797.0,618.0,1278.0,816.0,558.0,164.0,,1072.0
2026-S1,517.0,2112.0,620.0,1088.0,924.0,2343.0,886.0,1027.0,1381.0,1823.0,1050.0,838.0,2391.0,1153.0,2704.0,780.0,319.0,670.0,586.0,994.0,2295.0,1139.0,1073.0,795.0,744.0,1278.0,915.0,654.0,173.0,,1070.0
