date,AL,BE,BG,CY,CZ,DE,EE,EL,ES,FR,HR,HU,IE,LT,LU,LV,ME,MK,MT,NL,PL,PT,RO,RS,SI,SK,TR,UK,US
2012-S2,309.0,1320.0,286.0,,432.0,,384.0,711.0,754.0,1274.0,526.0,514.0,1200.0,354.0,1464.0,388.0,,,842.0,1307.0,623.0,650.0,296.0,470.0,892.0,455.0,605.0,1010.0,995.0
2013-S1,302.0,1343.0,313.0,,439.0,,417.0,740.0,773.0,1294.0,530.0,541.0,1179.0,448.0,1514.0,393.0,,407.0,840.0,1312.0,666.0,663.0,290.0,445.0,917.0,478.0,588.0,1002.0,979.0
2013-S2,316.0,1343.0,313.0,,439.0,,417.0,740.0,773.0,1294.0,563.0,541.0,1179.0,448.0,1514.0,393.0,502.0,407.0,840.0,1319.0,666.0,663.0,331.0,441.0,917.0,478.0,614.0,1002.0,979.0
2014-S1,314.0,1351.0,353.0,,472.0,,458.0,771.0,782.0,1301.0,577.0,546.0,1143.0,448.0,1527.0,434.0,507.0,441.0,855.0,1303.0,691.0,656.0,348.0,437.0,916.0,500.0,605.0,1010.0,972.0
2014-S2,314.0,1351.0,353.0,,472.0,,458.0,771.0,782.0,1301.0,577.0,546.0,1143.0,448.0,1527.0,434.0,507.0,441.0,855.0,1312.0,691.0,656.0,368.0,436.0,916.0,500.0,640.0,1010.0,972.0
2015-S1,326.0,1351.0,370.0,,505.0,1350.0,503.0,775.0,798.0,1301.0,587.0,552.0,1139.0,468.0,1532.0,492.0,513.0,443.0,859.0,1316.0,726.0,681.0,398.0,459.0,920.0,538.0,647.0,1037.0,978.0
2015-S2,326.0,1351.0,390.0,,505.0,1350.0,503.0,775.0,798.0,1301.0,587.0,552.0,1139.0,507.0,1532.0,492.0,513.0,472.0,859.0,1321.0,726.0,681.0,428.0,458.0,920.0,538.0,686.0,1037.0,978.0
2016-S1,314.0,1325.0,433.0,,536.0,1349.0,546.0,780.0,802.0,1305.0,604.0,571.0,1195.0,538.0,1504.0,497.0,515.0,474.0,861.0,1316.0,758.0,708.0,435.0,448.0,910.0,520.0,798.0,1061.0,947.0
2016-S2,314.0,1352.0,433.0,,536.0,1349.0,546.0,780.0,802.0,1305.0,604.0,571.0,1195.0,584.0,1504.0,497.0,515.0,493.0,861.0,1327.0,758.0,708.0,518.0,448.0,910.0,520.0,798.0,1140.0,947.0
2017-S1,313.0,1341.0,459.0,,593.0,1414.0,581.0,787.0,872.0,1310.0,634.0,626.0,1188.0,575.0,1552.0,507.0,506.0,493.0,853.0,1352.0,800.0,731.0,500.0,469.0,930.0,528.0,781.0,1137.0,943.0
2017-S2,341.0,1368.0,459.0,,593.0,1414.0,581.0,787.0,872.0,1310.0,634.0,626.0,1188.0,575.0,1552.0,507.0,506.0,570.0,853.0,1364.0,800.0,731.0,580.0,469.0,930.0,528.0,781.0,1185.0,943.0
2018-S1,336.0,1363.0,503.0,,643.0,1424.0,602.0,787.0,891.0,1315.0,657.0,656.0,1203.0,593.0,1575.0,561.0,501.0,558.0,864.0,1380.0,826.0,768.0,732.0,512.0,968.0,568.0,775.0,1173.0,927.0
2018-S2,336.0,1363.0,503.0,,643.0,1424.0,602.0,787.0,891.0,1315.0,657.0,656.0,1203.0,593.0,1575.0,561.0,501.0,558.0,864.0,1394.0,826.0,768.0,732.0,506.0,968.0,568.0,775.0,1228.0,927.0
2019-S1,363.0,1387.0,534.0,,693.0,1458.0,636.0,787.0,1094.0,1341.0,709.0,680.0,1215.0,816.0,1583.0,552.0,505.0,586.0,881.0,1380.0,875.0,797.0,790.0,547.0,1021.0,604.0,851.0,1225.0,894.0
2019-S2,363.0,1387.0,534.0,,693.0,1458.0,636.0,873.0,1094.0,1341.0,709.0,680.0,1215.0,816.0,1583.0,552.0,580.0,685.0,881.0,1397.0,875.0,797.0,790.0,546.0,1021.0,604.0,851.0,1281.0,894.0
2020-S1,353.0,1403.0,565.0,,723.0,1444.0,679.0,858.0,1133.0,1363.0,762.0,692.0,1169.0,868.0,1559.0,548.0,553.0,669.0,868.0,1424.0,991.0,821.0,832.0,588.0,1078.0,697.0,814.0,1270.52,882.0
2020-S2,353.0,1431.0,565.0,,723.0,1444.0,679.0,858.0,1133.0,1363.0,762.0,692.0,1205.0,868.0,1559.0,548.0,553.0,669.0,868.0,1446.0,991.0,821.0,832.0,588.0,1078.0,697.0,814.0,1349.46,882.0
2021-S1,398.0,1408.0,598.0,,711.0,1479.0,641.0,869.0,1173.0,1360.0,813.0,659.0,1246.0,897.0,1588.0,665.0,559.0,722.0,856.0,1459.0,1014.0,878.0,810.0,614.0,1175.0,756.0,806.0,,871.0
2021-S2,398.0,1408.0,598.0,,711.0,1494.0,641.0,869.0,1173.0,1360.0,813.0,685.0,1246.0,897.0,1588.0,665.0,559.0,734.0,856.0,1473.0,1014.0,878.0,835.0,614.0,1175.0,756.0,806.0,,871.0
2022-S1,411.0,1411.0,573.0,,735.0,1507.0,659.0,885.0,1202.0,1426.0,857.0,759.0,1284.0,925.0,1646.0,620.0,866.0,690.0,859.0,1503.0,1042.0,942.0,863.0,638.0,1216.0,758.0,694.0,,847.0
2022-S2,438.0,1568.0,626.0,,735.0,1604.0,659.0,952.0,1246.0,1464.0,857.0,759.0,1284.0,925.0,1687.0,620.0,866.0,824.0,859.0,1531.0,1042.0,942.0,863.0,638.0,1216.0,758.0,897.0,,847.0
2023-S1,479.0,1666.0,675.0,1011.0,777.0,1841.0,718.0,970.0,1281.0,1523.0,937.0,822.0,1393.0,1023.0,1782.0,756.0,857.0,795.0,918.0,1654.0,1139.0,1022.0,992.0,705.0,1344.0,835.0,894.0,,837.0
2023-S2,564.0,1666.0,675.0,1011.0,777.0,1841.0,718.0,1061.0,1384.0,1557.0,937.0,822.0,1393.0,1023.0,1872.0,756.0,857.0,895.0,918.0,1706.0,1175.0,1022.0,992.0,705.0,1344.0,835.0,1199.0,,837.0
2024-S1,566.0,1711.0,799.0,1078.0,851.0,1891.0,820.0,1059.0,1456.0,1589.0,1102.0,918.0,1554.0,1132.0,1935.0,856.0,840.0,882.0,1010.0,1785.0,1364.0,1100.0,1042.0,807.0,1390.0,885.0,1062.0,,837.0
2024-S2,566.0,1776.0,799.0,1078.0,851.0,1891.0,820.0,1127.0,1456.0,1589.0,1102.0,918.0,1554.0,1132.0,1935.0,856.0,840.0,990.0,1010.0,1840.0,1382.0,1100.0,1168.0,807.0,1390.0,885.0,1062.0,,837.0
2025-S1,566.0,1776.0,923.0,1078.0,936.0,1989.0,886.0,1127.0,1519.0,1620.0,1272.0,1001.0,1653.0,1272.0,1986.0,905.0,1058.0,990.0,1049.0,1891.0,1500.0,1167.0,1279.0,917.0,1417.0,963.0,,,837.0
2025-S2,566.0,1812.0,923.0,1078.0,936.0,1989.0,886.0,1194.0,1519.0,1620.0,1272.0,1001.0,1653.0,1272.0,2035.0,905.0,1058.0,1069.0,1049.0,1937.0,1500.0,1167.0,1279.0,917.0,1417.0,963.0,,,837.0
2026-S1,708.0,1812.0,1039.0,1173.0,1009.0,2157.0,886.0,1194.0,1519.0,1639.0,1377.0,1111.0,1732.0,1413.0,2035.0,954.0,1058.0,1069.0,1085.0,1979.0,1545.0,1234.0,1279.0,1105.0,1417.0,1080.0,,,837.0
