Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Νέα Δημοκρατία,Σαμαράς Αντώνιος του Κωνσταντίνου,129.0,29.66,1825514.0
ΣΥΡΙΖΑ - Ενωτικό Κοινωνικό Μέτωπο,Τσίπρας Αλέξιος του Παύλου,71.0,26.89,1655042.0
Πανελλήνιο Σοσιαλιστικό Κίνημα,Βενιζέλος Ευάγγελος του Βασιλείου,33.0,12.28,756045.0
Ανεξάρτητοι Έλληνες,Καμμένος Παναγιώτης του Ηλία,20.0,7.51,462410.0
Λαϊκός Σύνδεσμος Χρυσή Αυγή,Μιχαλολιάκος Νικόλαος του Γεωργίου,18.0,6.92,426027.0
Δημοκρατική Αριστερά,Κουβέλης Φώτιος-Φανούριος του Ευαγγέλλου,17.0,6.25,384971.0
Κομμουνιστικό Κόμμα Ελλάδας,Παπαρήγα Αλεξάνδρα του Νικολάου,12.0,4.5,277214.0
