Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Ανδρέας του Γεωργίου,161,45.82,2916735
Νέα Δημοκρατία,Μητσοτάκης Κωνσταντίνος του Κυριάκου,126,40.84,2599681
Κομμουνιστικό Κόμμα Ελλάδας,Φλωράκης Χαρίλαος του Ιωάννη,12,9.89,629525
Κομμουνιστικό Κόμμα  Ελλάδας Εσωτερικού,Μπανιάς Γιάννης του Βασιλείου,1,1.84,117135
