Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Γεώργιος του Ανδρέα,160,43.94,2995978
Νέα Δημοκρατία,Καραμανλής Κωνσταντίνος του Αλεξάνδρου  (από 30/11/2009 αρχηγός είναι ο Αντώνιος Σαμαράς),91,33.49,2283562
Κομμουνιστικό Κόμμα Ελλάδας,Παπαρήγα Αλεξάνδρα του Νικολάου,21,7.53,513787
Λαϊκός Ορθόδοξος Συναγερμός,Καρατζαφέρης Γεώργιος του Ιωάννη,15,5.62,383522
Συνασπισμός της Αριστεράς και της Προόδου,Τσίπρας Αλέξιος,13,4.59,313231
