election,NUTS_3_Code,NUTS_3_Name,registered,valid_votes,abstained,invalid_blank,voted_pct,abstained_pct,invalid_blank_pct
2023-05-21,EL301,Βόρειος Τομέας Αθηνών,516545,358582,149144,8819,0.6942,0.2887,0.0171
2023-05-21,EL302,Δυτικός Τομέας Αθηνών,368135,242100,118896,7139,0.6576,0.323,0.0194
2023-05-21,EL303,Κεντρικός Τομέας Αθηνών,453705,246707,199647,7351,0.5438,0.44,0.0162
2023-05-21,EL304,Νότιος Τομέας Αθηνών,607938,396865,200516,10557,0.6528,0.3298,0.0174
2023-05-21,EL305,Ανατολική Αττική,370366,255101,108230,7035,0.6888,0.2922,0.019
2023-05-21,EL306,Δυτική Αττική,133112,84182,45718,3212,0.6324,0.3435,0.0241
2023-05-21,EL307,"Πειραιάς, Νήσοι",453826,170905,274760,8161,0.3766,0.6054,0.018
2023-05-21,EL411,"Λέσβος, Λήμνος",126057,57377,66916,1764,0.4552,0.5308,0.014
2023-05-21,EL412,"Ικαρία, Σάμος",50136,24222,25130,784,0.4831,0.5012,0.0156
2023-05-21,EL413,Χίος,63478,31099,31490,889,0.4899,0.4961,0.014
2023-05-21,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",196207,104630,88093,3484,0.5333,0.449,0.0178
2023-05-21,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",128921,73808,52913,2200,0.5725,0.4104,0.0171
2023-05-21,EL431,Ηράκλειο,260688,178178,77967,4543,0.6835,0.2991,0.0174
2023-05-21,EL432,Λασίθι,69271,43013,24935,1323,0.6209,0.36,0.0191
2023-05-21,EL433,Ρέθυμνο,75014,48766,25192,1056,0.6501,0.3358,0.0141
2023-05-21,EL434,Χανιά,146185,89323,54391,2471,0.611,0.3721,0.0169
2023-05-21,EL511,Έβρος,161812,83054,75936,2822,0.5133,0.4693,0.0174
2023-05-21,EL512,Ξάνθη,120629,61710,56919,2000,0.5116,0.4719,0.0166
2023-05-21,EL513,Ροδόπη,118199,60833,55336,2030,0.5147,0.4682,0.0172
2023-05-21,EL514,Δράμα,115460,58676,55475,1309,0.5082,0.4805,0.0113
2023-05-21,EL515,"Θάσος, Καβάλα",143115,78550,62493,2072,0.5489,0.4367,0.0145
2023-05-21,EL521,Ημαθία,135443,83809,49495,2139,0.6188,0.3654,0.0158
2023-05-21,EL522,Θεσσαλονίκη,831813,531456,284275,16082,0.6389,0.3418,0.0193
2023-05-21,EL523,Κιλκίς,101307,54651,45500,1156,0.5395,0.4491,0.0114
2023-05-21,EL524,Πέλλα,145846,88503,55297,2046,0.6068,0.3791,0.014
2023-05-21,EL525,Πιερία,131704,77661,52188,1855,0.5897,0.3963,0.0141
2023-05-21,EL526,Σέρρες,223850,111279,109835,2736,0.4971,0.4907,0.0122
2023-05-21,EL527,Χαλκιδική,104388,64821,37789,1778,0.621,0.362,0.017
2023-05-21,EL531,"Γρεβενά, Κοζάνη",203409,114861,86056,2492,0.5647,0.4231,0.0123
2023-05-21,EL532,Καστοριά,62272,30252,31252,768,0.4858,0.5019,0.0123
2023-05-21,EL533,Φλώρινα,87746,32144,54812,790,0.3663,0.6247,0.009
2023-05-21,EL541,"Άρτα, Πρέβεζα",149164,85247,62004,1913,0.5715,0.4157,0.0128
2023-05-21,EL542,Θεσπρωτία,62126,30012,31263,851,0.4831,0.5032,0.0137
2023-05-21,EL543,Ιωάννινα,174258,98957,72921,2380,0.5679,0.4185,0.0137
2023-05-21,EL611,"Καρδίτσα, Τρίκαλα",275988,161575,110799,3614,0.5854,0.4015,0.0131
2023-05-21,EL612,Λάρισα,252880,164191,84456,4233,0.6493,0.334,0.0167
2023-05-21,EL613,"Μαγνησία, Σποράδες",175229,108369,63869,2991,0.6184,0.3645,0.0171
2023-05-21,EL621,Ζάκυνθος,41413,23053,17692,668,0.5567,0.4272,0.0161
2023-05-21,EL622,Κέρκυρα,107752,57835,48201,1716,0.5367,0.4473,0.0159
2023-05-21,EL623,"Ιθάκη, Κεφαλληνία",56046,23106,32273,667,0.4123,0.5758,0.0119
2023-05-21,EL624,Λευκάδα,29911,15279,14203,429,0.5108,0.4748,0.0143
2023-05-21,EL631,Αιτωλοακαρνανία,239642,136889,99984,2769,0.5712,0.4172,0.0116
2023-05-21,EL632,Αχαΐα,281916,178854,98905,4157,0.6344,0.3508,0.0147
2023-05-21,EL633,Ηλεία,169597,91613,75931,2053,0.5402,0.4477,0.0121
2023-05-21,EL641,Βοιωτία,105528,67137,36663,1728,0.6362,0.3474,0.0164
2023-05-21,EL642,Εύβοια,199975,125161,71725,3089,0.6259,0.3587,0.0154
2023-05-21,EL643,Ευρυτανία,31314,13634,17351,329,0.4354,0.5541,0.0105
2023-05-21,EL644,Φθιώτιδα,145705,92958,50694,2053,0.638,0.3479,0.0141
2023-05-21,EL645,Φωκίδα,42437,23840,17966,631,0.5618,0.4234,0.0149
2023-05-21,EL651,"Αργολίδα, Αρκαδία",218632,116999,98780,2853,0.5351,0.4518,0.013
2023-05-21,EL652,Κορινθία,139606,86249,50970,2387,0.6178,0.3651,0.0171
2023-05-21,EL653,"Λακωνία, Μεσσηνία",316167,149840,162734,3593,0.4739,0.5147,0.0114
