Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Νέα Δημοκρατία,Μητσοτάκης Κωνσταντίνος του Κυριάκου,150,46.89,3088137.0
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Ανδρέας του Γεωργίου,123,38.61,2543042.0
Συνασπισμός της Αριστεράς και της Προόδου,Φλωράκης Χαρίλαος του Ιωάννη,19,10.28,677059.0
Οικολόγοι Εναλλακτικοί - ΟΟΕΟ,Ηλιόπουλος Νικόλαος του Αντωνίου,1,0.77,50868.0
Δημοκρατική Ανανέωση,Στεφανόπουλος Κωνσταντίνος του Δημητρίου,1,0.67,44077.0
