Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Ανδρέας του Γεωργίου,170,46.88,3235017
Νέα Δημοκρατία,Μητσοτάκης Κωνσταντίνος του Κυριάκου,111,39.3,2711737
Πολιτική Άνοιξη,Σαμαράς Αντώνης του Κωνσταντίνου,10,4.88,336460
Κομμουνιστικό Κόμμα Ελλάδας,Παπαρήγα Αλεξάνδρα του Νικολάου,9,4.54,313001
