Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Πανελλήνιο Σοσιαλιστικό Κίνημα,Σημίτης Κωνσταντίνος του Γεωργίου,162,41.49,2814779
Νέα Δημοκρατία,Έβερτ Μιλτιάδης του Αγγέλου,108,38.12,2586089
Κομμουνιστικό Κόμμα Ελλάδας,Παπαρήγα Αλεξάνδρα του Νικολάου,11,5.6,380046
Συνασπισμός της Αριστεράς και της Προόδου,Κωνσταντόπουλος Νικόλαος του Ανδρέα,10,5.12,347236
Δημοκρατικό Κοινωνικό Κίνημα,Τσοβόλας Δημήτριος του Κωνσταντίνου,9,4.44,300954
