"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","total_num_ads","total_spend_formatted","detailed_type"
"Μητσοτάκης","Custom audience",2,0.18110856552961,"custom_audience",NA,TRUE,"HAS_CA_EXCLUSION",10,"€5,522",NA
"Μητσοτάκης","Customer list custom audience",0,0,"custom_audience",NA,FALSE,"HAS_DFCA_INCLUSION",10,"€5,522",NA
"Μητσοτάκης","Customer list custom audience",0,0,"custom_audience",NA,TRUE,"HAS_DFCA_EXCLUSION",10,"€5,522",NA
"Τσίπρας","All",5,1,"gender",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","Women",0,0,"gender",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","Men",0,0,"gender",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","Greece",4,0.96114334587087,"location","countries",FALSE,NA,5,"€1,029",NA
"Τσίπρας","Peloponnese (region), Greece",1,0.038856654129127,"location","regions",FALSE,NA,5,"€1,029",NA
"Τσίπρας","13",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","14",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","15",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","16",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","17",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","18",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","19",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","20",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","21",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","22",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","23",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","24",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","25",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","26",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","27",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","28",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","29",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","30",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","31",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","32",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","33",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","34",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","35",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","36",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","37",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","38",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","39",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","40",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","41",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","42",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","43",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","44",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","45",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","46",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","47",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","48",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","49",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","50",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","51",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","52",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","53",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","54",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","55",5,1,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","56",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","57",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","58",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","59",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","60",3,0.84426237474609,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","61",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","62",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","63",0,0,"age",NA,NA,NA,5,"€1,029",NA
