uri,track_name,artist_names,total_streams_2023,weeks_in_top200_2023
spotify:track:3q6ayHzfLJIx22oQXoYlyi,DEJA VU,"LILA, RACK, Beyond",19437604,34
spotify:track:7pQJFF9uu0GpVbHoDtW3sl,AGAPI - Remix,"Sigma, Light",17805614,34
spotify:track:4HrtkH6VWOqrstEi1psSux,KAPOTE,"Kidd, MUNEYLXRD, Fullife",16577320,40
spotify:track:1bPzfHjRXPvoyWaL5ZOmZE,Oulala,"Mente Fuerte, RACK, Beyond",16556693,46
spotify:track:249Ccx4Udp9bMug0T505Vx,Tik Tak,Trannos,16173550,47
spotify:track:3cGYbsm5YpNMSSyUjTvlzw,Blue Iguana,Hawk,13873353,31
spotify:track:45YWebKLhmd2q2dXPPhvrI,NAPOLI,"RACK, Sin Laurent",13162547,49
spotify:track:3EYVgA1fsZ3ZrcE5vpIzYf,9MM,"RACK, Oge",13161459,28
spotify:track:6wpj0XOOx9rJkoNYCv2d7i,ENA VRADI,"Saske, SIDARTA, Ramoon",11403319,39
spotify:track:5nM5TStrOQt5HQAt4VzyHz,No Sleep,"Light, Trannos",11014552,20
