artist_name,total_streams_2023,genres,weeks_in_top200_2023
Beyond,175738799,"edm, progressive house, progressive trance, trance, uplifting trance",52
RACK,147771980,greek drill,52
Light,145110786,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock",52
SIDARTA,119196580,greek trap,52
TOQUEL,108558482,"greek hip hop, greek trap",52
Trannos,96434557,"greek drill, greek trap",52
Oge,65877401,,52
Kidd,63854278,modern country pop,48
Dani Gambino,63585084,"greek drill, greek hip hop",52
Hawk,57748203,indie pop,52
