uri,track_name,artist_names,total_streams_2023,weeks_in_top200_2023
spotify:track:0fgJM8xRHf33hR98YqYAEC,JACOB & CO,MG,283992,3
spotify:track:3vxOiWJAjI6ZS7zVlL6uT7,To Kserw,Trannos,3628112,27
spotify:track:7bLtwKjbRujiAaEyTZ6YvT,PATITI,"Dani Gambino, Dj The Boy",2768653,27
spotify:track:6N0PJxd5oBMinXWFYK9zo4,Bossi Claus,"Bossikan, Chico Beatz",3664479,22
spotify:track:5uKsIyOxbFPop0sZ7LmI9J,El Telephone - Remix,"Eleni Foureira, Mente Fuerte, Fy, Trannos, Bobito, Ayman",4283314,36
spotify:track:03x0o1jOLLiGMyN0SgjtVM,ALITHEIA,"Saske, Gamecue",2985381,30
spotify:track:3n348I4uE5GZ3tprVdqzPO,Casablanca (feat. Morad),"Baby Gang, Bobo, Morad",2835086,29
spotify:track:4L9IptXt2LfSck0TY7m1SD,Exw Thema,"FANN, Bloody Hawk, Hades",3116902,20
spotify:track:63HQ3OdeCQb7sVfr3VNj5p,Chica,"Thug Slime, Destiny, Fy",832731,8
spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,2383915,25
spotify:track:2Hl382Ahx7IV5i2Qfu5m2Q,Tattoo,GMARK,2736185,22
spotify:track:0squdRpQmoHv9z31xx8NYM,MADONNA,"Dani Gambino, Dj The Boy",1426105,12
spotify:track:1zVSvXZbu4P5JTUzM3PmlZ,TIRANA,"Onad, Kidd",1855488,16
spotify:track:1QphVfogCxCARRZLergCjS,MON AMIE,"SIDARTA, Beyond",3438652,27
spotify:track:7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,246498,3
spotify:track:3Ih2cQKuXvsKOFlhZAnBDW,Crayon,Melisses,5565584,52
spotify:track:4ba3bmE2i6SvEXIaJYhUoJ,Ligo Ligo,Anastasia,2426157,24
spotify:track:3N2iBFazoTUIvgcqu2PdDZ,Egw & Esy,"Trannos, Eleni Foureira",5407889,50
spotify:track:0qQiT7KDAZGP1WdkWvqNah,Platina,"TOQUEL, Sin Laurent",5397768,52
spotify:track:2sqAEZmdjX6RG0x8fQ0ldY,Louloudi,Bloody Hawk,1400061,12
spotify:track:5j2qq0EBEAceOdff92l4qZ,Beverly Hills,TOQUEL,5931878,52
spotify:track:2Rpfa4gDFr3q96himB2c3m,Reckless,"FLY LO, Mike G",2440056,19
spotify:track:4MDE9lMcDLf43vVzLtT1I0,EPIKINDINOI POLITES,"Dani Gambino, Dj The Boy",1130554,7
spotify:track:5ZebQMinMjoeKDhebutBnf,OLOI ON SPOT,"MG, FANN, Chico Beatz",167827,2
spotify:track:6bgI3JZPDLm6gDE75utatQ,Mentalité,Baby Gang,2037639,26
spotify:track:5pKkx2psY8nq3dHukJaakC,Ekeina Ta Meri,"Buzz, Bloody Hawk, Reddy A",295647,4
spotify:track:69W3v9sWKB4iGA76vIJNxa,IVY,"MG, Ivan Greko",165959,2
spotify:track:3NIWeaub0MblBpqQdWP2oe,FLOGES STA GRAFEIA,"Dani Gambino, Dof Twogee, Dj The Boy",1047046,7
spotify:track:2jeuoMQB17m1KOMR7EiG9m,Meine Gia Ligo,Wang,4113707,50
spotify:track:6XK6R1ir3k0iPkwGbmVIEV,Crystal,"FLY LO, Mike G",2615286,17
spotify:track:0mBpzm8OfmBouihZ54biML,Kokaina,"TOQUEL, ObieDaz",4672803,49
spotify:track:3gMkuoFyby1uUf7rR7y8Km,Iliovasilema - (Part 2 - Fos),"Konstantinos Argiros, Light",4069041,42
spotify:track:0hVl1Eb02SNnTHSgrlhBm7,NASA,"RACK, Saske",4494028,49
spotify:track:5YT0slA5sVnH8cwiJcpgx0,Atlanta,"Raps On The Run, Wang, Electabaz",3582849,41
spotify:track:3OGv5aAfxKGmkstUtsfFUC,Air Max,"LEX, Dof Twogee",4158997,51
spotify:track:5Tbuk8Mr01Y53EWmrM7D4r,UNIQUE,RACK,4209940,38
spotify:track:07qyw1D9R324YyFNZGUUdl,Cc,Light,2689070,32
spotify:track:1i1rxhc6aNa3Sw99uxMwb4,BIBELO,"Strat, BeTaf Beats",2052844,26
spotify:track:6ZXObu3oZUd8ZR72RHkjpa,NO HOPE,"Dani Gambino, Skouti Beats, Dj The Boy",849833,6
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,2859143,30
spotify:track:2UG59wr1s5atiZyAwMA6g7,DOPE,"MG, Gosei",94636,1
spotify:track:5vc7tN7aNh8Og42plnU3Hc,GOLD DIGGER,"MG, Slogan",94577,1
spotify:track:718XWLo3fyDFH5RWp5Q5nN,Salonikios,"RICTA, Night Grind, City Center",3166208,36
spotify:track:6QpwYoil5qHpMVboN7cqvK,NFS,MG,91765,1
spotify:track:1qU4KrC3CFoWACDvCr2a4w,TRENO,"Dani Gambino, Dj The Boy",885255,6
spotify:track:1oa2VjfQHY3jOMhr4INBOf,Aya,"Eleni Foureira, Hawk",4221164,48
spotify:track:5uSDQl9po7lXD3tdcGCVeQ,OLA GIA OLA,"MG, Oge",89289,1
spotify:track:5WbxlSohobSgmQm8osl5Ht,Easy Rider,"Light, Saske, Skive",1850397,25
spotify:track:5tbMaO9qbA9dMQnoOtRAUR,Bossidonas,"Bossikan, Roi 6/12, WhiteShadow",3209071,39
spotify:track:10oxWvy8kI9H1y7RsY9B1h,FxCK MARRY KILL,MG,87627,1
spotify:track:3DbiL7GTCopFHk9t9qpDut,Latina,"Leaderbrain, RICTA",3850233,47
spotify:track:1Z1F0EwzhLMV59L01zuhj8,GEITONIA - Pt. 2,"MG, Phen",87438,1
