origin,nights,year,month
FOR,3949225.0,2011,10
NAT,1109119.0,2011,10
FOR,10751485.0,2011,09
NAT,2114036.0,2011,09
FOR,14474356.0,2011,08
NAT,5336891.0,2011,08
FOR,14078744.0,2011,07
NAT,3866079.0,2011,07
FOR,11431151.0,2011,06
NAT,2002892.0,2011,06
FOR,7032934.0,2011,05
NAT,1224952.0,2011,05
FOR,1876240.0,2011,04
NAT,1476474.0,2011,04
FOR,538414.0,2011,03
NAT,1236478.0,2011,03
FOR,371882.0,2011,02
NAT,906309.0,2011,02
FOR,319765.0,2011,01
NAT,1064018.0,2011,01
FOR,285095.0,2010,12
NAT,1025776.0,2010,12
FOR,402758.0,2010,11
NAT,811205.0,2010,11
FOR,3617829.0,2010,10
NAT,1134318.0,2010,10
FOR,9471612.0,2010,09
NAT,2343446.0,2010,09
FOR,13441020.0,2010,08
NAT,7336554.0,2010,08
FOR,12788194.0,2010,07
NAT,5561654.0,2010,07
FOR,9634341.0,2010,06
NAT,2008681.0,2010,06
FOR,6060505.0,2010,05
NAT,1347855.0,2010,05
FOR,1314974.0,2010,04
NAT,1394052.0,2010,04
FOR,533991.0,2010,03
NAT,1004640.0,2010,03
FOR,315869.0,2010,02
NAT,920059.0,2010,02
FOR,281579.0,2010,01
NAT,1001666.0,2010,01
FOR,286775.0,2009,12
NAT,1204052.0,2009,12
FOR,407863.0,2009,11
NAT,1010563.0,2009,11
FOR,3433576.0,2009,10
NAT,1274278.0,2009,10
FOR,9166766.0,2009,09
NAT,2577327.0,2009,09
FOR,12984179.0,2009,08
NAT,7709573.0,2009,08
FOR,12112083.0,2009,07
NAT,6347315.0,2009,07
FOR,9666184.0,2009,06
NAT,2529356.0,2009,06
FOR,5869131.0,2009,05
NAT,1468459.0,2009,05
FOR,1517020.0,2009,04
NAT,1462091.0,2009,04
FOR,508475.0,2009,03
NAT,1096394.0,2009,03
FOR,299053.0,2009,02
NAT,935597.0,2009,02
FOR,264307.0,2009,01
NAT,953087.0,2009,01
FOR,256309.0,2008,12
NAT,911700.0,2008,12
FOR,395293.0,2008,11
