year,month,nights
2018,07,28349102.0
2018,08,30152553.0
2018,09,21374053.0
2018,10,10345662.0
2018,11,2136857.0
2018,12,2086386.0
2019,01,1605737.0
2019,02,1624847.0
2019,03,2490551.0
2019,04,6417765.0
2019,05,14045744.0
2019,06,22299904.0
2019,07,28412615.0
2019,08,30877301.0
2019,09,21499089.0
2019,10,10213181.0
2019,11,2136640.0
2019,12,1971093.0
2020,01,1741391.0
2020,02,1808607.0
2020,04,66553.0
2020,05,94550.0
2020,06,902492.0
2020,07,6908326.0
2020,08,12335085.0
2020,09,7722629.0
2020,10,5250308.0
2020,11,569759.0
2021,01,380183.0
2021,02,408460.0
2021,03,509539.0
2021,04,591166.0
2021,05,1883756.0
2021,06,7273925.0
2021,07,16705834.0
2021,08,20317996.0
2021,09,14995441.0
2021,10,8147055.0
2021,11,1574631.0
2021,12,1098827.0
2022,01,685661.0
2022,02,812508.0
2022,03,1246653.0
2022,04,5455198.0
2022,05,12906401.0
2022,06,19549747.0
2022,07,26970754.0
2022,08,30600851.0
2022,09,20744924.0
