year,quarter,duration,purpose,nights
2005,4,N_GE1,PROF,2413886.0
2005,4,N_GE1,TOTAL,18140221.0
2005,4,N_GE4,PERS,13293594.0
2005,4,N_GE4,PERS_VFR,4837795.0
2005,3,N1-3,PERS,2355311.0
2005,3,N_GE1,PERS,76241985.0
2005,3,N_GE1,PROF,2812311.0
2005,3,N_GE1,TOTAL,79054296.0
2005,3,N_GE4,PERS,73886674.0
2005,3,N_GE4,PERS_VFR,14468414.0
2005,2,N1-3,PERS,2360317.0
2005,2,N_GE1,PERS,21075295.0
2005,2,N_GE1,PROF,1313410.0
2005,2,N_GE1,TOTAL,22388705.0
2005,2,N_GE4,PERS,18714978.0
2005,2,N_GE4,PERS_VFR,4839353.0
2005,1,N1-3,PERS,3116934.0
2005,1,N_GE1,PERS,9123779.0
2005,1,N_GE1,PROF,976874.0
2005,1,N_GE1,TOTAL,10100653.0
2005,1,N_GE4,PERS,6006845.0
2005,1,N_GE4,PERS_VFR,1812373.0
2004,4,N1-3,PERS,3153651.0
2004,4,N_GE1,PERS,13748442.0
2004,4,N_GE1,PROF,1202778.0
2004,4,N_GE1,TOTAL,14951220.0
2004,4,N_GE4,PERS,10594791.0
2004,4,N_GE4,PERS_VFR,3381726.0
2004,3,N1-3,PERS,1873862.0
2004,3,N_GE1,PERS,59195714.0
2004,3,N_GE1,PROF,2079618.0
2004,3,N_GE1,TOTAL,61275332.0
2004,3,N_GE4,PERS,57321852.0
2004,3,N_GE4,PERS_VFR,10850524.0
2004,2,N1-3,PERS,2227265.0
2004,2,N_GE1,PERS,15696387.0
2004,2,N_GE1,PROF,3220576.0
2004,2,N_GE1,TOTAL,18916963.0
2004,2,N_GE4,PERS,13469122.0
2004,2,N_GE4,PERS_VFR,2840878.0
2004,1,N1-3,PERS,1848997.0
2004,1,N_GE1,PERS,8120084.0
2004,1,N_GE1,PROF,1951694.0
2004,1,N_GE1,TOTAL,10071778.0
2004,1,N_GE4,PERS,6271087.0
2004,1,N_GE4,PERS_VFR,2287094.0
2003,4,N1-3,PERS,849395.0
2003,4,N_GE1,PERS,8296808.0
2003,4,N_GE1,PROF,729371.0
2003,4,N_GE1,TOTAL,9026179.0
2003,4,N_GE4,PERS,7447413.0
2003,4,N_GE4,PERS_VFR,2742254.0
2003,3,N1-3,PERS,985777.0
2003,3,N_GE1,PERS,37243127.0
2003,3,N_GE1,PROF,1194814.0
2003,3,N_GE1,TOTAL,38437941.0
2003,3,N_GE4,PERS,36257350.0
2003,3,N_GE4,PERS_VFR,8154960.0
2003,2,N1-3,PERS,1391176.0
2003,2,N_GE1,PERS,11798788.0
2003,2,N_GE1,PROF,796307.0
2003,2,N_GE1,TOTAL,12595095.0
