date,EL,EU,EL_index_2015,EU_index_2015
1997-01-01,6.7,,62.97,
1997-02-01,6.4,,62.72,
1997-03-01,5.9,,64.19,
1997-04-01,5.7,,64.74,
1997-05-01,5.4,,65.05,
1997-06-01,5.6,,65.3,
1997-07-01,5.3,,63.95,
1997-08-01,5.6,,64.07,
1997-09-01,4.9,,65.17,
1997-10-01,4.6,,65.48,
1997-11-01,5.0,,65.79,
1997-12-01,4.5,,66.28,
1998-01-01,4.3,,65.66,
1998-02-01,4.1,,65.3,
1998-03-01,4.3,,66.95,
1998-04-01,5.1,,68.05,
1998-05-01,5.0,,68.3,
1998-06-01,4.9,,68.48,
1998-07-01,4.8,,67.01,
1998-08-01,4.7,,67.07,
1998-09-01,5.0,,68.42,
1998-10-01,4.5,,68.42,
1998-11-01,3.9,,68.36,
1998-12-01,3.7,,68.73,
1999-01-01,3.3,,67.81,
1999-02-01,3.1,,67.32,
1999-03-01,3.0,,68.97,
1999-04-01,2.6,,69.83,
1999-05-01,2.0,,69.65,
1999-06-01,1.5,,69.53,
1999-07-01,1.6,,68.05,
1999-08-01,1.4,,67.99,
1999-09-01,1.3,,69.34,
1999-10-01,1.7,,69.59,
1999-11-01,2.0,,69.71,
1999-12-01,2.3,,70.32,71.6
2000-01-01,2.3,,69.4,71.8
2000-02-01,2.6,,69.1,72.1
2000-03-01,2.8,,70.88,72.42
2000-04-01,2.1,,71.3,72.59
2000-05-01,2.6,,71.49,72.76
2000-06-01,2.2,,71.06,73.06
2000-07-01,2.6,,69.83,73.24
2000-08-01,2.9,,69.96,73.34
2000-09-01,3.0,,71.43,73.76
2000-10-01,3.8,,72.22,73.91
2000-11-01,4.0,,72.53,74.13
2000-12-01,3.7,4.0,72.9,74.44
2001-01-01,3.2,3.5,71.61,74.31
2001-02-01,3.4,3.5,71.46,74.59
2001-03-01,3.2,3.6,73.13,75.01
2001-04-01,3.7,4.0,73.94,75.52
2001-05-01,3.9,4.4,74.31,75.94
2001-06-01,4.5,4.1,74.24,76.08
2001-07-01,4.2,3.7,72.75,75.93
2001-08-01,4.0,3.5,72.76,75.91
2001-09-01,4.0,3.3,74.3,76.17
2001-10-01,3.2,3.2,74.53,76.3
2001-11-01,2.9,3.0,74.63,76.32
2001-12-01,3.5,3.0,75.47,76.68
2002-01-01,4.8,3.4,75.03,76.86
2002-02-01,3.8,3.3,74.16,77.02
2002-03-01,4.3,3.2,76.31,77.44
2002-04-01,4.1,3.0,76.96,77.81
2002-05-01,3.8,2.6,77.13,77.94
2002-06-01,3.6,2.4,76.92,77.89
2002-07-01,3.6,2.5,75.4,77.8
2002-08-01,3.8,2.5,75.55,77.84
2002-09-01,3.8,2.5,77.12,78.05
2002-10-01,4.0,2.6,77.53,78.26
2002-11-01,3.9,2.5,77.54,78.24
2002-12-01,3.5,2.5,78.11,78.6
2003-01-01,3.3,2.3,77.51,78.64
2003-02-01,4.3,2.5,77.32,78.96
2003-03-01,3.9,2.5,79.29,79.41
2003-04-01,3.3,2.2,79.47,79.54
2003-05-01,3.5,2.0,79.82,79.5
2003-06-01,3.7,2.2,79.73,79.58
2003-07-01,3.5,2.1,78.03,79.47
2003-08-01,3.3,2.2,78.03,79.56
2003-09-01,3.3,2.3,79.65,79.88
2003-10-01,3.1,2.3,79.95,80.03
2003-11-01,3.3,2.4,80.09,80.11
2003-12-01,3.1,2.2,80.53,80.36
2004-01-01,3.0,2.1,79.86,80.3
2004-02-01,2.6,2.0,79.36,80.5
2004-03-01,2.9,2.0,81.62,80.98
2004-04-01,3.1,2.3,81.91,81.39
2004-05-01,3.1,2.8,82.26,81.69
2004-06-01,3.0,2.7,82.09,81.75
2004-07-01,3.2,2.7,80.49,81.62
2004-08-01,2.8,2.7,80.25,81.74
2004-09-01,2.9,2.5,81.99,81.86
2004-10-01,3.3,2.7,82.59,82.2
2004-11-01,3.2,2.5,82.62,82.15
2004-12-01,3.1,2.6,83.05,82.43
2005-01-01,4.2,2.1,83.25,82.02
2005-02-01,3.1,2.3,81.85,82.32
2005-03-01,2.8,2.3,83.94,82.87
2005-04-01,3.3,2.3,84.6,83.25
2005-05-01,3.2,2.1,84.89,83.43
2005-06-01,3.2,2.2,84.72,83.52
2005-07-01,3.9,2.3,83.6,83.46
2005-08-01,3.6,2.3,83.13,83.63
2005-09-01,3.8,2.7,85.12,84.06
2005-10-01,3.7,2.6,85.66,84.3
2005-11-01,3.4,2.4,85.47,84.15
2005-12-01,3.5,2.4,85.96,84.39
2006-01-01,3.0,2.5,85.76,84.1
2006-02-01,3.1,2.5,84.41,84.35
2006-03-01,3.3,2.3,86.73,84.79
2006-04-01,3.5,2.5,87.59,85.35
2006-05-01,3.3,2.6,87.69,85.61
2006-06-01,3.4,2.6,87.64,85.67
2006-07-01,3.9,2.5,86.9,85.58
2006-08-01,3.5,2.4,86.0,85.67
2006-09-01,3.1,2.0,87.76,85.7
2006-10-01,3.1,1.7,88.34,85.76
2006-11-01,3.2,2.0,88.2,85.82
2006-12-01,3.2,2.1,88.71,86.12
2007-01-01,3.0,2.0,88.36,85.8
2007-02-01,3.0,2.0,86.97,86.07
2007-03-01,2.8,2.1,89.13,86.61
2007-04-01,2.6,2.1,89.83,87.15
2007-05-01,2.6,2.1,89.99,87.38
2007-06-01,2.6,2.1,89.95,87.48
2007-07-01,2.7,2.0,89.27,87.31
2007-08-01,2.7,2.0,88.36,87.38
2007-09-01,3.0,2.4,90.35,87.75
2007-10-01,3.0,2.9,90.98,88.21
2007-11-01,3.9,3.4,91.67,88.71
2007-12-01,3.9,3.4,92.13,89.06
2008-01-01,3.9,3.7,91.82,88.94
2008-02-01,4.6,3.7,90.93,89.27
2008-03-01,4.4,4.0,93.03,90.08
2008-04-01,4.4,3.7,93.8,90.4
2008-05-01,4.9,4.1,94.44,90.96
2008-06-01,4.9,4.4,94.39,91.3
2008-07-01,4.9,4.5,93.68,91.22
2008-08-01,4.8,4.2,92.63,91.08
2008-09-01,4.7,4.0,94.61,91.28
2008-10-01,4.0,3.6,94.64,91.35
2008-11-01,3.0,2.5,94.43,90.97
2008-12-01,2.2,2.0,94.15,90.85
2009-01-01,2.0,1.6,93.64,90.32
2009-02-01,1.8,1.6,92.59,90.73
2009-03-01,1.5,1.1,94.45,91.08
2009-04-01,1.1,1.1,94.87,91.41
2009-05-01,0.7,0.6,95.11,91.51
2009-06-01,0.7,0.4,95.04,91.69
2009-07-01,0.7,0.0,94.34,91.19
2009-08-01,1.0,0.4,93.54,91.42
2009-09-01,0.7,0.2,95.31,91.44
2009-10-01,1.2,0.3,95.81,91.63
2009-11-01,2.1,0.9,96.42,91.76
2009-12-01,2.5,1.3,96.55,92.0
2010-01-01,2.3,1.3,95.82,91.51
2010-02-01,2.9,1.2,95.24,91.79
2010-03-01,3.9,1.8,98.16,92.68
2010-04-01,4.8,1.8,99.38,93.06
2010-05-01,5.3,1.8,100.15,93.18
2010-06-01,5.2,1.6,99.98,93.2
2010-07-01,5.5,1.9,99.55,92.93
2010-08-01,5.6,1.8,98.81,93.06
2010-09-01,5.7,2.1,100.7,93.35
2010-10-01,5.2,2.2,100.83,93.63
2010-11-01,4.8,2.2,101.04,93.74
2010-12-01,5.2,2.5,101.53,94.28
2011-01-01,4.9,2.5,100.53,93.81
2011-02-01,4.1,2.6,99.19,94.2
2011-03-01,4.3,2.9,102.38,95.37
2011-04-01,3.7,3.0,103.05,95.88
2011-05-01,3.1,3.0,103.28,95.94
2011-06-01,3.1,2.9,103.07,95.89
2011-07-01,2.1,2.7,101.65,95.41
2011-08-01,1.4,2.7,100.21,95.55
2011-09-01,2.9,3.0,103.61,96.14
2011-10-01,2.9,3.1,103.71,96.49
2011-11-01,2.8,3.1,103.91,96.63
2011-12-01,2.2,2.8,103.74,96.95
2012-01-01,2.1,2.8,102.6,96.39
2012-02-01,1.7,2.8,100.85,96.88
2012-03-01,1.3,2.8,103.76,98.01
2012-04-01,1.5,2.7,104.62,98.45
2012-05-01,0.9,2.5,104.25,98.36
2012-06-01,1.0,2.5,104.05,98.3
2012-07-01,0.9,2.5,102.57,97.84
2012-08-01,1.1,2.7,101.36,98.17
2012-09-01,0.3,2.8,103.9,98.82
2012-10-01,0.9,2.7,104.67,99.05
2012-11-01,0.4,2.3,104.34,98.87
2012-12-01,0.3,2.3,104.07,99.17
2013-01-01,0.0,2.0,102.65,98.34
2013-02-01,0.1,1.9,100.99,98.69
2013-03-01,-0.2,1.7,103.51,99.69
2013-04-01,-0.6,1.2,104.0,99.64
2013-05-01,-0.3,1.4,103.95,99.72
2013-06-01,-0.2,1.5,103.79,99.81
2013-07-01,-0.5,1.6,102.09,99.36
2013-08-01,-1.0,1.3,100.38,99.44
2013-09-01,-1.0,1.0,102.85,99.85
2013-10-01,-1.9,0.7,102.69,99.75
2013-11-01,-2.9,0.8,101.36,99.65
2013-12-01,-1.8,0.8,102.18,99.98
2014-01-01,-1.4,0.7,101.21,99.05
2014-02-01,-0.9,0.7,100.12,99.34
2014-03-01,-1.5,0.4,101.97,100.13
2014-04-01,-1.6,0.6,102.35,100.28
2014-05-01,-2.1,0.5,101.73,100.18
2014-06-01,-1.5,0.5,102.27,100.27
2014-07-01,-0.8,0.4,101.23,99.72
2014-08-01,-0.2,0.3,100.14,99.78
2014-09-01,-1.1,0.3,101.72,100.13
2014-10-01,-1.8,0.3,100.84,100.09
2014-11-01,-1.2,0.3,100.12,99.9
2014-12-01,-2.5,-0.2,99.59,99.79
2015-01-01,-2.8,-0.6,98.42,98.46
2015-02-01,-1.9,-0.3,98.21,99.0
2015-03-01,-1.9,-0.1,100.07,100.01
2015-04-01,-1.8,0.1,100.5,100.42
2015-05-01,-1.4,0.5,100.28,100.7
2015-06-01,-1.1,0.4,101.15,100.66
2015-07-01,-1.3,0.4,99.96,100.14
2015-08-01,-0.4,0.3,99.75,100.08
2015-09-01,-0.8,0.1,100.94,100.24
2015-10-01,-0.1,0.3,100.75,100.35
2015-11-01,-0.1,0.1,100.01,99.97
2015-12-01,0.4,0.2,99.98,99.97
2016-01-01,-0.1,0.3,98.3,98.71
2016-02-01,0.1,-0.2,98.28,98.85
2016-03-01,-0.7,-0.1,99.4,99.89
2016-04-01,-0.4,-0.3,100.07,100.12
2016-05-01,-0.2,-0.2,100.08,100.49
2016-06-01,0.2,0.0,101.38,100.66
2016-07-01,0.2,0.1,100.16,100.24
2016-08-01,0.4,0.2,100.18,100.25
2016-09-01,-0.1,0.3,100.88,100.56
2016-10-01,0.6,0.5,101.33,100.82
2016-11-01,-0.2,0.6,99.85,100.53
2016-12-01,0.3,1.1,100.27,101.04
2017-01-01,1.5,1.7,99.79,100.35
2017-02-01,1.4,1.9,99.69,100.75
2017-03-01,1.7,1.5,101.06,101.43
2017-04-01,1.6,1.8,101.72,101.97
2017-05-01,1.5,1.4,101.56,101.9
2017-06-01,0.9,1.3,102.3,101.97
2017-07-01,0.9,1.4,101.08,101.61
2017-08-01,0.6,1.6,100.77,101.81
2017-09-01,1.0,1.6,101.93,102.17
2017-10-01,0.5,1.5,101.8,102.29
2017-11-01,1.1,1.6,100.9,102.17
2017-12-01,1.0,1.4,101.24,102.49
2018-01-01,0.2,1.4,100.0,101.75
2018-02-01,0.4,1.2,100.09,101.94
