year,week,sex,deaths
2015,1,F,1296.0
2015,1,M,1349.0
2015,2,F,1496.0
2015,2,M,1517.0
2015,3,F,1513.0
2015,3,M,1540.0
2015,4,F,1545.0
2015,4,M,1520.0
2015,5,F,1394.0
2015,5,M,1384.0
2015,6,F,1342.0
2015,6,M,1323.0
2015,7,F,1284.0
2015,7,M,1267.0
2015,8,F,1335.0
2015,8,M,1355.0
2015,9,F,1377.0
2015,9,M,1413.0
2015,10,F,1278.0
2015,10,M,1351.0
2015,11,F,1270.0
2015,11,M,1277.0
2015,12,F,1204.0
2015,12,M,1253.0
2015,13,F,1186.0
2015,13,M,1190.0
2015,14,F,1216.0
2015,14,M,1174.0
2015,15,F,1193.0
2015,15,M,1215.0
2015,16,F,1173.0
2015,16,M,1253.0
2015,17,F,1062.0
2015,17,M,1178.0
2015,18,F,1124.0
2015,18,M,1163.0
2015,19,F,1123.0
2015,19,M,1204.0
2015,20,F,968.0
2015,20,M,1047.0
2015,21,F,970.0
2015,21,M,1105.0
2015,22,F,912.0
2015,22,M,1029.0
2015,23,F,1037.0
2015,23,M,1053.0
2015,24,F,1019.0
2015,24,M,1088.0
2015,25,F,1123.0
2015,25,M,1112.0
2015,26,F,916.0
2015,26,M,1006.0
2015,27,F,881.0
2015,27,M,1036.0
2015,28,F,1118.0
2015,28,M,1153.0
2015,29,F,1086.0
2015,29,M,1111.0
2015,30,F,1211.0
2015,30,M,1232.0
2015,31,F,1284.0
2015,31,M,1195.0
2015,32,F,1175.0
2015,32,M,1197.0
2015,33,F,1084.0
2015,33,M,1158.0
2015,34,F,1010.0
2015,34,M,1071.0
2015,35,F,978.0
2015,35,M,1077.0
2015,36,F,1111.0
2015,36,M,1165.0
2015,37,F,962.0
2015,37,M,1078.0
2015,38,F,949.0
2015,38,M,1033.0
2015,39,F,873.0
2015,39,M,1046.0
2015,40,F,883.0
2015,40,M,966.0
2015,41,F,1003.0
2015,41,M,1098.0
2015,42,F,998.0
2015,42,M,1058.0
2015,43,F,1007.0
2015,43,M,1065.0
2015,44,F,1085.0
2015,44,M,1117.0
2015,45,F,1175.0
2015,45,M,1162.0
2015,46,F,1168.0
2015,46,M,1195.0
2015,47,F,1095.0
2015,47,M,1158.0
2015,48,F,1126.0
2015,48,M,1096.0
2015,49,F,998.0
2015,49,M,1133.0
2015,50,F,1125.0
2015,50,M,1181.0
2015,51,F,1207.0
2015,51,M,1180.0
2015,52,F,1227.0
2015,52,M,1253.0
2015,53,F,1258.0
2015,53,M,1311.0
2016,1,F,1336.0
2016,1,M,1301.0
2016,2,F,1289.0
2016,2,M,1349.0
2016,3,F,1283.0
2016,3,M,1318.0
2016,4,F,1298.0
2016,4,M,1354.0
2016,5,F,1344.0
2016,5,M,1305.0
2016,6,F,1283.0
2016,6,M,1311.0
2016,7,F,1219.0
2016,7,M,1217.0
2016,8,F,1078.0
2016,8,M,1137.0
2016,9,F,1069.0
2016,9,M,1070.0
2016,10,F,1092.0
2016,10,M,1156.0
2016,11,F,1082.0
2016,11,M,1173.0
2016,12,F,1102.0
2016,12,M,1083.0
2016,13,F,1123.0
2016,13,M,1136.0
2016,14,F,1110.0
2016,14,M,1165.0
2016,15,F,1025.0
2016,15,M,1202.0
2016,16,F,1033.0
2016,16,M,1067.0
2016,17,F,1040.0
2016,17,M,1041.0
2016,18,F,1083.0
2016,18,M,1163.0
2016,19,F,1070.0
2016,19,M,1139.0
2016,20,F,999.0
2016,20,M,1122.0
2016,21,F,989.0
2016,21,M,1038.0
2016,22,F,1051.0
2016,22,M,1148.0
2016,23,F,972.0
2016,23,M,1027.0
2016,24,F,1105.0
2016,24,M,1070.0
2016,25,F,1492.0
