year,week,region,region_name,deaths
2015,1,EL3,Αττική ,871.0
2015,1,EL4,"Νησιά Αιγαίου, Κρήτη",263.0
2015,1,EL5,Βόρεια Ελλάδα,761.0
2015,1,EL6,Κεντρική Ελλάδα,750.0
2015,2,EL3,Αττική ,1067.0
2015,2,EL4,"Νησιά Αιγαίου, Κρήτη",303.0
2015,2,EL5,Βόρεια Ελλάδα,791.0
2015,2,EL6,Κεντρική Ελλάδα,852.0
2015,3,EL3,Αττική ,1089.0
2015,3,EL4,"Νησιά Αιγαίου, Κρήτη",292.0
2015,3,EL5,Βόρεια Ελλάδα,837.0
2015,3,EL6,Κεντρική Ελλάδα,835.0
2015,4,EL3,Αττική ,1051.0
2015,4,EL4,"Νησιά Αιγαίου, Κρήτη",262.0
2015,4,EL5,Βόρεια Ελλάδα,860.0
2015,4,EL6,Κεντρική Ελλάδα,892.0
2015,5,EL3,Αττική ,913.0
2015,5,EL4,"Νησιά Αιγαίου, Κρήτη",256.0
2015,5,EL5,Βόρεια Ελλάδα,759.0
2015,5,EL6,Κεντρική Ελλάδα,850.0
2015,6,EL3,Αττική ,863.0
2015,6,EL4,"Νησιά Αιγαίου, Κρήτη",230.0
2015,6,EL5,Βόρεια Ελλάδα,816.0
2015,6,EL6,Κεντρική Ελλάδα,756.0
2015,7,EL3,Αττική ,804.0
2015,7,EL4,"Νησιά Αιγαίου, Κρήτη",245.0
2015,7,EL5,Βόρεια Ελλάδα,762.0
2015,7,EL6,Κεντρική Ελλάδα,740.0
2015,8,EL3,Αττική ,879.0
2015,8,EL4,"Νησιά Αιγαίου, Κρήτη",262.0
2015,8,EL5,Βόρεια Ελλάδα,796.0
2015,8,EL6,Κεντρική Ελλάδα,753.0
2015,9,EL3,Αττική ,952.0
2015,9,EL4,"Νησιά Αιγαίου, Κρήτη",250.0
2015,9,EL5,Βόρεια Ελλάδα,799.0
2015,9,EL6,Κεντρική Ελλάδα,789.0
2015,10,EL3,Αττική ,849.0
2015,10,EL4,"Νησιά Αιγαίου, Κρήτη",261.0
2015,10,EL5,Βόρεια Ελλάδα,769.0
2015,10,EL6,Κεντρική Ελλάδα,750.0
2015,11,EL3,Αττική ,848.0
2015,11,EL4,"Νησιά Αιγαίου, Κρήτη",265.0
2015,11,EL5,Βόρεια Ελλάδα,734.0
2015,11,EL6,Κεντρική Ελλάδα,700.0
2015,12,EL3,Αττική ,791.0
2015,12,EL4,"Νησιά Αιγαίου, Κρήτη",230.0
2015,12,EL5,Βόρεια Ελλάδα,752.0
2015,12,EL6,Κεντρική Ελλάδα,684.0
2015,13,EL3,Αττική ,847.0
2015,13,EL4,"Νησιά Αιγαίου, Κρήτη",233.0
2015,13,EL5,Βόρεια Ελλάδα,667.0
2015,13,EL6,Κεντρική Ελλάδα,629.0
2015,14,EL3,Αττική ,805.0
2015,14,EL4,"Νησιά Αιγαίου, Κρήτη",245.0
2015,14,EL5,Βόρεια Ελλάδα,689.0
2015,14,EL6,Κεντρική Ελλάδα,651.0
2015,15,EL3,Αττική ,807.0
2015,15,EL4,"Νησιά Αιγαίου, Κρήτη",228.0
2015,15,EL5,Βόρεια Ελλάδα,713.0
2015,15,EL6,Κεντρική Ελλάδα,660.0
2015,16,EL3,Αττική ,812.0
2015,16,EL4,"Νησιά Αιγαίου, Κρήτη",230.0
2015,16,EL5,Βόρεια Ελλάδα,701.0
2015,16,EL6,Κεντρική Ελλάδα,683.0
2015,17,EL3,Αττική ,754.0
2015,17,EL4,"Νησιά Αιγαίου, Κρήτη",241.0
2015,17,EL5,Βόρεια Ελλάδα,642.0
2015,17,EL6,Κεντρική Ελλάδα,603.0
