year,week,region,region_name,deaths
2015,3,EL514,Δράμα,43.0
2015,3,EL515,"Θάσος, Καβάλα",46.0
2015,3,EL521,Ημαθία,39.0
2015,3,EL522,Θεσσαλονίκη,233.0
2015,3,EL523,Κιλκίς,25.0
2015,3,EL524,Πέλλα,36.0
2015,3,EL525,Πιερία,30.0
2015,3,EL526,Σέρρες,67.0
2015,3,EL527,Χαλκιδική,18.0
2015,3,EL531,"Γρεβενά, Κοζάνη",49.0
2015,3,EL532,Καστοριά,25.0
2015,3,EL533,Φλώρινα,18.0
2015,3,EL541,"Άρτα, Πρέβεζα",45.0
2015,3,EL542,Θεσπρωτία,11.0
2015,3,EL543,Ιωάννινα,43.0
2015,3,EL611,"Καρδίτσα, Τρίκαλα",81.0
2015,3,EL612,Λάρισα,73.0
2015,3,EL613,"Μαγνησία, Σποράδες",47.0
2015,3,EL621,Ζάκυνθος,13.0
2015,3,EL622,Κέρκυρα,36.0
2015,3,EL623,"Ιθάκη, Κεφαλληνία",13.0
2015,3,EL624,Λευκάδα,10.0
2015,3,EL631,Αιτωλοακαρνανία,56.0
2015,3,EL632,Αχαΐα,85.0
2015,3,EL633,Ηλεία,55.0
2015,3,EL641,Βοιωτία,36.0
2015,3,EL642,Εύβοια,57.0
2015,3,EL643,Ευρυτανία,8.0
2015,3,EL644,Φθιώτιδα,52.0
2015,3,EL645,Φωκίδα,13.0
2015,3,EL651,"Αργολίδα, Αρκαδία",55.0
2015,3,EL652,Κορινθία,46.0
2015,3,EL653,"Λακωνία, Μεσσηνία",99.0
2015,4,EL301,Βόρειος Τομέας Αθηνών,163.0
2015,4,EL302,Δυτικός Τομέας Αθηνών,130.0
2015,4,EL303,Κεντρικός Τομέας Αθηνών,331.0
2015,4,EL304,Νότιος Τομέας Αθηνών,123.0
2015,4,EL305,Ανατολική Αττική,128.0
2015,4,EL306,Δυτική Αττική,33.0
2015,4,EL307,"Πειραιάς, Νήσοι",143.0
2015,4,EL411,"Λέσβος, Λήμνος",17.0
2015,4,EL412,"Ικαρία, Σάμος",10.0
2015,4,EL413,Χίος,12.0
2015,4,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",48.0
2015,4,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",30.0
2015,4,EL431,Ηράκλειο,58.0
2015,4,EL432,Λασίθι,17.0
2015,4,EL433,Ρέθυμνο,13.0
2015,4,EL434,Χανιά,57.0
2015,4,EL511,Έβρος,47.0
2015,4,EL512,Ξάνθη,21.0
2015,4,EL513,Ροδόπη,28.0
2015,4,EL514,Δράμα,31.0
2015,4,EL515,"Θάσος, Καβάλα",41.0
2015,4,EL521,Ημαθία,54.0
2015,4,EL522,Θεσσαλονίκη,252.0
2015,4,EL523,Κιλκίς,31.0
2015,4,EL524,Πέλλα,35.0
2015,4,EL525,Πιερία,40.0
2015,4,EL526,Σέρρες,71.0
2015,4,EL527,Χαλκιδική,31.0
2015,4,EL531,"Γρεβενά, Κοζάνη",42.0
2015,4,EL532,Καστοριά,10.0
2015,4,EL533,Φλώρινα,15.0
2015,4,EL541,"Άρτα, Πρέβεζα",53.0
2015,4,EL542,Θεσπρωτία,9.0
2015,4,EL543,Ιωάννινα,49.0
2015,4,EL611,"Καρδίτσα, Τρίκαλα",92.0
2015,4,EL612,Λάρισα,91.0
2015,4,EL613,"Μαγνησία, Σποράδες",62.0
2015,4,EL621,Ζάκυνθος,8.0
2015,4,EL622,Κέρκυρα,38.0
2015,4,EL623,"Ιθάκη, Κεφαλληνία",15.0
2015,4,EL624,Λευκάδα,10.0
2015,4,EL631,Αιτωλοακαρνανία,76.0
2015,4,EL632,Αχαΐα,87.0
2015,4,EL633,Ηλεία,41.0
2015,4,EL641,Βοιωτία,33.0
2015,4,EL642,Εύβοια,66.0
2015,4,EL643,Ευρυτανία,4.0
2015,4,EL644,Φθιώτιδα,57.0
2015,4,EL645,Φωκίδα,19.0
2015,4,EL651,"Αργολίδα, Αρκαδία",62.0
2015,4,EL652,Κορινθία,40.0
2015,4,EL653,"Λακωνία, Μεσσηνία",91.0
2015,5,EL301,Βόρειος Τομέας Αθηνών,143.0
2015,5,EL302,Δυτικός Τομέας Αθηνών,114.0
2015,5,EL303,Κεντρικός Τομέας Αθηνών,263.0
2015,5,EL304,Νότιος Τομέας Αθηνών,133.0
2015,5,EL305,Ανατολική Αττική,93.0
2015,5,EL306,Δυτική Αττική,25.0
2015,5,EL307,"Πειραιάς, Νήσοι",142.0
2015,5,EL411,"Λέσβος, Λήμνος",28.0
2015,5,EL412,"Ικαρία, Σάμος",8.0
2015,5,EL413,Χίος,12.0
2015,5,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",42.0
2015,5,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",38.0
2015,5,EL431,Ηράκλειο,52.0
2015,5,EL432,Λασίθι,28.0
2015,5,EL433,Ρέθυμνο,15.0
2015,5,EL434,Χανιά,33.0
2015,5,EL511,Έβρος,48.0
2015,5,EL512,Ξάνθη,24.0
2015,5,EL513,Ροδόπη,27.0
2015,5,EL514,Δράμα,33.0
2015,5,EL515,"Θάσος, Καβάλα",37.0
2015,5,EL521,Ημαθία,32.0
2015,5,EL522,Θεσσαλονίκη,201.0
2015,5,EL523,Κιλκίς,32.0
2015,5,EL524,Πέλλα,43.0
2015,5,EL525,Πιερία,30.0
2015,5,EL526,Σέρρες,66.0
2015,5,EL527,Χαλκιδική,16.0
2015,5,EL531,"Γρεβενά, Κοζάνη",46.0
2015,5,EL532,Καστοριά,14.0
2015,5,EL533,Φλώρινα,12.0
2015,5,EL541,"Άρτα, Πρέβεζα",46.0
2015,5,EL542,Θεσπρωτία,12.0
2015,5,EL543,Ιωάννινα,40.0
2015,5,EL611,"Καρδίτσα, Τρίκαλα",75.0
2015,5,EL612,Λάρισα,74.0
2015,5,EL613,"Μαγνησία, Σποράδες",52.0
2015,5,EL621,Ζάκυνθος,7.0
2015,5,EL622,Κέρκυρα,38.0
2015,5,EL623,"Ιθάκη, Κεφαλληνία",12.0
2015,5,EL624,Λευκάδα,12.0
2015,5,EL631,Αιτωλοακαρνανία,47.0
2015,5,EL632,Αχαΐα,94.0
2015,5,EL633,Ηλεία,59.0
2015,5,EL641,Βοιωτία,41.0
2015,5,EL642,Εύβοια,64.0
2015,5,EL643,Ευρυτανία,4.0
2015,5,EL644,Φθιώτιδα,66.0
2015,5,EL645,Φωκίδα,16.0
2015,5,EL651,"Αργολίδα, Αρκαδία",63.0
2015,5,EL652,Κορινθία,46.0
2015,5,EL653,"Λακωνία, Μεσσηνία",80.0
2015,6,EL301,Βόρειος Τομέας Αθηνών,122.0
2015,6,EL302,Δυτικός Τομέας Αθηνών,98.0
2015,6,EL303,Κεντρικός Τομέας Αθηνών,242.0
2015,6,EL304,Νότιος Τομέας Αθηνών,124.0
2015,6,EL305,Ανατολική Αττική,82.0
2015,6,EL306,Δυτική Αττική,46.0
2015,6,EL307,"Πειραιάς, Νήσοι",149.0
2015,6,EL411,"Λέσβος, Λήμνος",20.0
2015,6,EL412,"Ικαρία, Σάμος",17.0
2015,6,EL413,Χίος,10.0
2015,6,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",29.0
2015,6,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",31.0
2015,6,EL431,Ηράκλειο,58.0
2015,6,EL432,Λασίθι,21.0
2015,6,EL433,Ρέθυμνο,17.0
2015,6,EL434,Χανιά,27.0
2015,6,EL511,Έβρος,58.0
2015,6,EL512,Ξάνθη,21.0
2015,6,EL513,Ροδόπη,30.0
2015,6,EL514,Δράμα,25.0
2015,6,EL515,"Θάσος, Καβάλα",40.0
2015,6,EL521,Ημαθία,38.0
2015,6,EL522,Θεσσαλονίκη,255.0
2015,6,EL523,Κιλκίς,23.0
2015,6,EL524,Πέλλα,44.0
2015,6,EL525,Πιερία,25.0
2015,6,EL526,Σέρρες,62.0
2015,6,EL527,Χαλκιδική,19.0
2015,6,EL531,"Γρεβενά, Κοζάνη",45.0
2015,6,EL532,Καστοριά,17.0
2015,6,EL533,Φλώρινα,20.0
2015,6,EL541,"Άρτα, Πρέβεζα",43.0
2015,6,EL542,Θεσπρωτία,11.0
2015,6,EL543,Ιωάννινα,40.0
2015,6,EL611,"Καρδίτσα, Τρίκαλα",97.0
2015,6,EL612,Λάρισα,68.0
2015,6,EL613,"Μαγνησία, Σποράδες",48.0
2015,6,EL621,Ζάκυνθος,17.0
2015,6,EL622,Κέρκυρα,33.0
2015,6,EL623,"Ιθάκη, Κεφαλληνία",14.0
2015,6,EL624,Λευκάδα,4.0
2015,6,EL631,Αιτωλοακαρνανία,61.0
2015,6,EL632,Αχαΐα,75.0
2015,6,EL633,Ηλεία,53.0
2015,6,EL641,Βοιωτία,27.0
2015,6,EL642,Εύβοια,47.0
2015,6,EL643,Ευρυτανία,2.0
2015,6,EL644,Φθιώτιδα,41.0
2015,6,EL645,Φωκίδα,13.0
2015,6,EL651,"Αργολίδα, Αρκαδία",49.0
2015,6,EL652,Κορινθία,36.0
2015,6,EL653,"Λακωνία, Μεσσηνία",71.0
2015,7,EL301,Βόρειος Τομέας Αθηνών,110.0
2015,7,EL302,Δυτικός Τομέας Αθηνών,98.0
2015,7,EL303,Κεντρικός Τομέας Αθηνών,216.0
2015,7,EL304,Νότιος Τομέας Αθηνών,131.0
2015,7,EL305,Ανατολική Αττική,94.0
2015,7,EL306,Δυτική Αττική,23.0
2015,7,EL307,"Πειραιάς, Νήσοι",132.0
2015,7,EL411,"Λέσβος, Λήμνος",28.0
2015,7,EL412,"Ικαρία, Σάμος",8.0
2015,7,EL413,Χίος,12.0
2015,7,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",31.0
2015,7,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",21.0
2015,7,EL431,Ηράκλειο,52.0
2015,7,EL432,Λασίθι,25.0
2015,7,EL433,Ρέθυμνο,22.0
2015,7,EL434,Χανιά,46.0
2015,7,EL511,Έβρος,46.0
2015,7,EL512,Ξάνθη,20.0
2015,7,EL513,Ροδόπη,22.0
2015,7,EL514,Δράμα,31.0
2015,7,EL515,"Θάσος, Καβάλα",39.0
2015,7,EL521,Ημαθία,40.0
2015,7,EL522,Θεσσαλονίκη,229.0
2015,7,EL523,Κιλκίς,14.0
2015,7,EL524,Πέλλα,42.0
2015,7,EL525,Πιερία,30.0
2015,7,EL526,Σέρρες,70.0
2015,7,EL527,Χαλκιδική,31.0
2015,7,EL531,"Γρεβενά, Κοζάνη",38.0
2015,7,EL532,Καστοριά,17.0
2015,7,EL533,Φλώρινα,12.0
2015,7,EL541,"Άρτα, Πρέβεζα",33.0
2015,7,EL542,Θεσπρωτία,11.0
2015,7,EL543,Ιωάννινα,37.0
2015,7,EL611,"Καρδίτσα, Τρίκαλα",73.0
2015,7,EL612,Λάρισα,64.0
2015,7,EL613,"Μαγνησία, Σποράδες",44.0
2015,7,EL621,Ζάκυνθος,12.0
2015,7,EL622,Κέρκυρα,24.0
2015,7,EL623,"Ιθάκη, Κεφαλληνία",7.0
2015,7,EL624,Λευκάδα,6.0
2015,7,EL631,Αιτωλοακαρνανία,64.0
2015,7,EL632,Αχαΐα,86.0
2015,7,EL633,Ηλεία,56.0
2015,7,EL641,Βοιωτία,30.0
2015,7,EL642,Εύβοια,50.0
2015,7,EL643,Ευρυτανία,3.0
2015,7,EL644,Φθιώτιδα,42.0
2015,7,EL645,Φωκίδα,10.0
2015,7,EL651,"Αργολίδα, Αρκαδία",49.0
2015,7,EL652,Κορινθία,38.0
2015,7,EL653,"Λακωνία, Μεσσηνία",82.0
2015,8,EL301,Βόρειος Τομέας Αθηνών,125.0
2015,8,EL302,Δυτικός Τομέας Αθηνών,110.0
2015,8,EL303,Κεντρικός Τομέας Αθηνών,259.0
2015,8,EL304,Νότιος Τομέας Αθηνών,110.0
2015,8,EL305,Ανατολική Αττική,115.0
2015,8,EL306,Δυτική Αττική,32.0
2015,8,EL307,"Πειραιάς, Νήσοι",128.0
2015,8,EL411,"Λέσβος, Λήμνος",26.0
2015,8,EL412,"Ικαρία, Σάμος",11.0
2015,8,EL413,Χίος,16.0
2015,8,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",43.0
2015,8,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",24.0
2015,8,EL431,Ηράκλειο,69.0
2015,8,EL432,Λασίθι,19.0
