year,week,region,region_name,deaths
2015,1,EL30,Aττική,871.0
2015,1,EL41,Βόρειο Αιγαίο,65.0
2015,1,EL42,Νότιο Αιγαίο,68.0
2015,1,EL43,Κρήτη,130.0
2015,1,EL51,"Aνατολική Μακεδονία, Θράκη",154.0
2015,1,EL52,Κεντρική Μακεδονία,446.0
2015,1,EL53,Δυτική Μακεδονία,72.0
2015,1,EL54,Ήπειρος,89.0
2015,1,EL61,Θεσσαλία,190.0
2015,1,EL62,Ιόνια Νησιά,64.0
2015,1,EL63,Δυτική Ελλάδα,176.0
2015,1,EL64,Στερεά Ελλάδα,145.0
2015,1,EL65,Πελοπόννησος,175.0
2015,2,EL30,Aττική,1067.0
2015,2,EL41,Βόρειο Αιγαίο,45.0
2015,2,EL42,Νότιο Αιγαίο,86.0
2015,2,EL43,Κρήτη,172.0
2015,2,EL51,"Aνατολική Μακεδονία, Θράκη",175.0
2015,2,EL52,Κεντρική Μακεδονία,462.0
2015,2,EL53,Δυτική Μακεδονία,71.0
2015,2,EL54,Ήπειρος,83.0
2015,2,EL61,Θεσσαλία,226.0
2015,2,EL62,Ιόνια Νησιά,66.0
2015,2,EL63,Δυτική Ελλάδα,202.0
2015,2,EL64,Στερεά Ελλάδα,166.0
2015,2,EL65,Πελοπόννησος,192.0
2015,3,EL30,Aττική,1089.0
2015,3,EL41,Βόρειο Αιγαίο,57.0
2015,3,EL42,Νότιο Αιγαίο,62.0
2015,3,EL43,Κρήτη,173.0
2015,3,EL51,"Aνατολική Μακεδονία, Θράκη",198.0
2015,3,EL52,Κεντρική Μακεδονία,448.0
2015,3,EL53,Δυτική Μακεδονία,92.0
2015,3,EL54,Ήπειρος,99.0
2015,3,EL61,Θεσσαλία,201.0
2015,3,EL62,Ιόνια Νησιά,72.0
2015,3,EL63,Δυτική Ελλάδα,196.0
2015,3,EL64,Στερεά Ελλάδα,166.0
2015,3,EL65,Πελοπόννησος,200.0
2015,4,EL30,Aττική,1051.0
2015,4,EL41,Βόρειο Αιγαίο,39.0
2015,4,EL42,Νότιο Αιγαίο,78.0
2015,4,EL43,Κρήτη,145.0
2015,4,EL51,"Aνατολική Μακεδονία, Θράκη",168.0
2015,4,EL52,Κεντρική Μακεδονία,514.0
2015,4,EL53,Δυτική Μακεδονία,67.0
2015,4,EL54,Ήπειρος,111.0
2015,4,EL61,Θεσσαλία,245.0
2015,4,EL62,Ιόνια Νησιά,71.0
2015,4,EL63,Δυτική Ελλάδα,204.0
2015,4,EL64,Στερεά Ελλάδα,179.0
2015,4,EL65,Πελοπόννησος,193.0
2015,5,EL30,Aττική,913.0
2015,5,EL41,Βόρειο Αιγαίο,48.0
2015,5,EL42,Νότιο Αιγαίο,80.0
2015,5,EL43,Κρήτη,128.0
2015,5,EL51,"Aνατολική Μακεδονία, Θράκη",169.0
2015,5,EL52,Κεντρική Μακεδονία,420.0
2015,5,EL53,Δυτική Μακεδονία,72.0
2015,5,EL54,Ήπειρος,98.0
2015,5,EL61,Θεσσαλία,201.0
2015,5,EL62,Ιόνια Νησιά,69.0
2015,5,EL63,Δυτική Ελλάδα,200.0
2015,5,EL64,Στερεά Ελλάδα,191.0
2015,5,EL65,Πελοπόννησος,189.0
2015,6,EL30,Aττική,863.0
2015,6,EL41,Βόρειο Αιγαίο,47.0
2015,6,EL42,Νότιο Αιγαίο,60.0
2015,6,EL43,Κρήτη,123.0
2015,6,EL51,"Aνατολική Μακεδονία, Θράκη",174.0
2015,6,EL52,Κεντρική Μακεδονία,466.0
2015,6,EL53,Δυτική Μακεδονία,82.0
2015,6,EL54,Ήπειρος,94.0
2015,6,EL61,Θεσσαλία,213.0
2015,6,EL62,Ιόνια Νησιά,68.0
2015,6,EL63,Δυτική Ελλάδα,189.0
2015,6,EL64,Στερεά Ελλάδα,130.0
2015,6,EL65,Πελοπόννησος,156.0
2015,7,EL30,Aττική,804.0
2015,7,EL41,Βόρειο Αιγαίο,48.0
2015,7,EL42,Νότιο Αιγαίο,52.0
2015,7,EL43,Κρήτη,145.0
2015,7,EL51,"Aνατολική Μακεδονία, Θράκη",158.0
2015,7,EL52,Κεντρική Μακεδονία,456.0
2015,7,EL53,Δυτική Μακεδονία,67.0
2015,7,EL54,Ήπειρος,81.0
2015,7,EL61,Θεσσαλία,181.0
2015,7,EL62,Ιόνια Νησιά,49.0
2015,7,EL63,Δυτική Ελλάδα,206.0
2015,7,EL64,Στερεά Ελλάδα,135.0
2015,7,EL65,Πελοπόννησος,169.0
2015,8,EL30,Aττική,879.0
2015,8,EL41,Βόρειο Αιγαίο,53.0
2015,8,EL42,Νότιο Αιγαίο,67.0
2015,8,EL43,Κρήτη,142.0
2015,8,EL51,"Aνατολική Μακεδονία, Θράκη",183.0
2015,8,EL52,Κεντρική Μακεδονία,446.0
2015,8,EL53,Δυτική Μακεδονία,72.0
2015,8,EL54,Ήπειρος,95.0
2015,8,EL61,Θεσσαλία,188.0
2015,8,EL62,Ιόνια Νησιά,64.0
2015,8,EL63,Δυτική Ελλάδα,186.0
2015,8,EL64,Στερεά Ελλάδα,160.0
2015,8,EL65,Πελοπόννησος,155.0
2015,9,EL30,Aττική,952.0
2015,9,EL41,Βόρειο Αιγαίο,40.0
2015,9,EL42,Νότιο Αιγαίο,61.0
2015,9,EL43,Κρήτη,149.0
2015,9,EL51,"Aνατολική Μακεδονία, Θράκη",148.0
2015,9,EL52,Κεντρική Μακεδονία,467.0
2015,9,EL53,Δυτική Μακεδονία,80.0
2015,9,EL54,Ήπειρος,104.0
2015,9,EL61,Θεσσαλία,193.0
2015,9,EL62,Ιόνια Νησιά,63.0
2015,9,EL63,Δυτική Ελλάδα,179.0
2015,9,EL64,Στερεά Ελλάδα,161.0
2015,9,EL65,Πελοπόννησος,193.0
2015,10,EL30,Aττική,849.0
2015,10,EL41,Βόρειο Αιγαίο,60.0
2015,10,EL42,Νότιο Αιγαίο,61.0
2015,10,EL43,Κρήτη,140.0
2015,10,EL51,"Aνατολική Μακεδονία, Θράκη",146.0
2015,10,EL52,Κεντρική Μακεδονία,429.0
2015,10,EL53,Δυτική Μακεδονία,83.0
2015,10,EL54,Ήπειρος,111.0
2015,10,EL61,Θεσσαλία,157.0
2015,10,EL62,Ιόνια Νησιά,75.0
2015,10,EL63,Δυτική Ελλάδα,189.0
2015,10,EL64,Στερεά Ελλάδα,156.0
2015,10,EL65,Πελοπόννησος,173.0
2015,11,EL30,Aττική,848.0
2015,11,EL41,Βόρειο Αιγαίο,58.0
2015,11,EL42,Νότιο Αιγαίο,67.0
2015,11,EL43,Κρήτη,140.0
2015,11,EL51,"Aνατολική Μακεδονία, Θράκη",145.0
2015,11,EL52,Κεντρική Μακεδονία,410.0
2015,11,EL53,Δυτική Μακεδονία,80.0
2015,11,EL54,Ήπειρος,99.0
2015,11,EL61,Θεσσαλία,151.0
2015,11,EL62,Ιόνια Νησιά,56.0
2015,11,EL63,Δυτική Ελλάδα,156.0
2015,11,EL64,Στερεά Ελλάδα,151.0
2015,11,EL65,Πελοπόννησος,186.0
2015,12,EL30,Aττική,791.0
2015,12,EL41,Βόρειο Αιγαίο,42.0
2015,12,EL42,Νότιο Αιγαίο,59.0
2015,12,EL43,Κρήτη,129.0
2015,12,EL51,"Aνατολική Μακεδονία, Θράκη",176.0
2015,12,EL52,Κεντρική Μακεδονία,427.0
2015,12,EL53,Δυτική Μακεδονία,77.0
2015,12,EL54,Ήπειρος,72.0
2015,12,EL61,Θεσσαλία,139.0
2015,12,EL62,Ιόνια Νησιά,68.0
2015,12,EL63,Δυτική Ελλάδα,167.0
