year,week,age,deaths
2015,1,UNK,0.0
2015,1,Y10-14,3.0
2015,1,Y15-19,1.0
2015,1,Y20-24,5.0
2015,1,Y25-29,4.0
2015,1,Y30-34,10.0
2015,1,Y35-39,13.0
2015,1,Y40-44,15.0
2015,1,Y45-49,30.0
2015,1,Y5-9,1.0
2015,1,Y50-54,68.0
2015,1,Y55-59,74.0
2015,1,Y60-64,104.0
2015,1,Y65-69,149.0
2015,1,Y70-74,192.0
2015,1,Y75-79,335.0
2015,1,Y80-84,578.0
2015,1,Y85-89,591.0
2015,1,Y_GE90,468.0
2015,1,Y_LT5,4.0
2015,2,UNK,0.0
2015,2,Y10-14,2.0
2015,2,Y15-19,5.0
2015,2,Y20-24,4.0
2015,2,Y25-29,6.0
2015,2,Y30-34,9.0
2015,2,Y35-39,19.0
2015,2,Y40-44,23.0
2015,2,Y45-49,34.0
2015,2,Y5-9,2.0
2015,2,Y50-54,63.0
2015,2,Y55-59,93.0
2015,2,Y60-64,116.0
2015,2,Y65-69,164.0
2015,2,Y70-74,217.0
2015,2,Y75-79,390.0
2015,2,Y80-84,632.0
2015,2,Y85-89,706.0
2015,2,Y_GE90,523.0
2015,2,Y_LT5,5.0
2015,3,UNK,0.0
2015,3,Y10-14,1.0
2015,3,Y15-19,1.0
2015,3,Y20-24,5.0
2015,3,Y25-29,6.0
2015,3,Y30-34,11.0
2015,3,Y35-39,13.0
2015,3,Y40-44,22.0
2015,3,Y45-49,35.0
2015,3,Y5-9,0.0
2015,3,Y50-54,39.0
2015,3,Y55-59,93.0
2015,3,Y60-64,105.0
2015,3,Y65-69,157.0
2015,3,Y70-74,219.0
2015,3,Y75-79,384.0
2015,3,Y80-84,622.0
2015,3,Y85-89,721.0
2015,3,Y_GE90,610.0
2015,3,Y_LT5,9.0
2015,4,UNK,0.0
2015,4,Y10-14,4.0
2015,4,Y15-19,3.0
2015,4,Y20-24,2.0
2015,4,Y25-29,7.0
2015,4,Y30-34,10.0
2015,4,Y35-39,14.0
2015,4,Y40-44,24.0
2015,4,Y45-49,33.0
2015,4,Y5-9,0.0
2015,4,Y50-54,64.0
2015,4,Y55-59,96.0
2015,4,Y60-64,112.0
2015,4,Y65-69,185.0
2015,4,Y70-74,216.0
2015,4,Y75-79,398.0
2015,4,Y80-84,614.0
2015,4,Y85-89,710.0
2015,4,Y_GE90,565.0
2015,4,Y_LT5,8.0
2015,5,UNK,0.0
2015,5,Y10-14,1.0
2015,5,Y15-19,2.0
2015,5,Y20-24,5.0
2015,5,Y25-29,7.0
2015,5,Y30-34,7.0
2015,5,Y35-39,13.0
2015,5,Y40-44,16.0
2015,5,Y45-49,36.0
2015,5,Y5-9,0.0
2015,5,Y50-54,57.0
2015,5,Y55-59,85.0
2015,5,Y60-64,106.0
2015,5,Y65-69,157.0
2015,5,Y70-74,196.0
2015,5,Y75-79,318.0
2015,5,Y80-84,603.0
2015,5,Y85-89,663.0
2015,5,Y_GE90,494.0
2015,5,Y_LT5,12.0
2015,6,UNK,0.0
2015,6,Y10-14,0.0
2015,6,Y15-19,5.0
2015,6,Y20-24,4.0
2015,6,Y25-29,4.0
2015,6,Y30-34,12.0
2015,6,Y35-39,14.0
2015,6,Y40-44,20.0
2015,6,Y45-49,33.0
2015,6,Y5-9,0.0
2015,6,Y50-54,54.0
2015,6,Y55-59,88.0
2015,6,Y60-64,107.0
2015,6,Y65-69,155.0
2015,6,Y70-74,196.0
2015,6,Y75-79,347.0
2015,6,Y80-84,570.0
2015,6,Y85-89,607.0
2015,6,Y_GE90,442.0
2015,6,Y_LT5,7.0
2015,7,UNK,0.0
2015,7,Y10-14,0.0
2015,7,Y15-19,5.0
2015,7,Y20-24,9.0
2015,7,Y25-29,6.0
2015,7,Y30-34,10.0
2015,7,Y35-39,11.0
2015,7,Y40-44,23.0
2015,7,Y45-49,24.0
2015,7,Y5-9,0.0
2015,7,Y50-54,36.0
2015,7,Y55-59,76.0
2015,7,Y60-64,126.0
2015,7,Y65-69,149.0
2015,7,Y70-74,188.0
2015,7,Y75-79,349.0
2015,7,Y80-84,514.0
2015,7,Y85-89,593.0
2015,7,Y_GE90,426.0
2015,7,Y_LT5,6.0
2015,8,UNK,0.0
2015,8,Y10-14,0.0
2015,8,Y15-19,5.0
2015,8,Y20-24,5.0
2015,8,Y25-29,5.0
2015,8,Y30-34,15.0
2015,8,Y35-39,12.0
2015,8,Y40-44,24.0
2015,8,Y45-49,43.0
2015,8,Y5-9,0.0
2015,8,Y50-54,51.0
2015,8,Y55-59,70.0
2015,8,Y60-64,114.0
2015,8,Y65-69,160.0
2015,8,Y70-74,194.0
2015,8,Y75-79,342.0
2015,8,Y80-84,551.0
2015,8,Y85-89,581.0
2015,8,Y_GE90,512.0
2015,8,Y_LT5,6.0
2015,9,UNK,0.0
2015,9,Y10-14,2.0
2015,9,Y15-19,1.0
2015,9,Y20-24,4.0
2015,9,Y25-29,10.0
2015,9,Y30-34,7.0
2015,9,Y35-39,13.0
2015,9,Y40-44,20.0
2015,9,Y45-49,42.0
2015,9,Y5-9,0.0
2015,9,Y50-54,45.0
2015,9,Y55-59,87.0
2015,9,Y60-64,102.0
2015,9,Y65-69,167.0
2015,9,Y70-74,194.0
2015,9,Y75-79,399.0
2015,9,Y80-84,574.0
2015,9,Y85-89,635.0
2015,9,Y_GE90,482.0
2015,9,Y_LT5,6.0
2015,10,UNK,0.0
2015,10,Y10-14,3.0
2015,10,Y15-19,2.0
2015,10,Y20-24,4.0
2015,10,Y25-29,3.0
2015,10,Y30-34,12.0
2015,10,Y35-39,19.0
2015,10,Y40-44,23.0
2015,10,Y45-49,45.0
2015,10,Y5-9,0.0
2015,10,Y50-54,53.0
2015,10,Y55-59,85.0
2015,10,Y60-64,112.0
2015,10,Y65-69,165.0
2015,10,Y70-74,170.0
2015,10,Y75-79,348.0
2015,10,Y80-84,537.0
2015,10,Y85-89,629.0
2015,10,Y_GE90,416.0
2015,10,Y_LT5,3.0
2015,11,UNK,0.0
2015,11,Y10-14,1.0
2015,11,Y15-19,7.0
2015,11,Y20-24,8.0
2015,11,Y25-29,8.0
2015,11,Y30-34,7.0
2015,11,Y35-39,9.0
2015,11,Y40-44,21.0
2015,11,Y45-49,26.0
2015,11,Y5-9,1.0
2015,11,Y50-54,55.0
2015,11,Y55-59,82.0
2015,11,Y60-64,101.0
2015,11,Y65-69,162.0
2015,11,Y70-74,199.0
2015,11,Y75-79,331.0
2015,11,Y80-84,495.0
2015,11,Y85-89,571.0
2015,11,Y_GE90,460.0
2015,11,Y_LT5,3.0
2015,12,UNK,0.0
2015,12,Y10-14,2.0
2015,12,Y15-19,5.0
2015,12,Y20-24,1.0
2015,12,Y25-29,4.0
2015,12,Y30-34,10.0
2015,12,Y35-39,12.0
2015,12,Y40-44,12.0
2015,12,Y45-49,39.0
2015,12,Y5-9,0.0
2015,12,Y50-54,53.0
2015,12,Y55-59,79.0
2015,12,Y60-64,101.0
2015,12,Y65-69,153.0
