date,Exports_Euro,Exports_KG,Imports_Euro,Imports_KG,Exports_Euro_WORLD,Exports_KG_WORLD,Imports_Euro_WORLD,Imports_KG_WORLD,USA_Exports_Euro_pct,USA_Imports_Euro_pct,USA_Exports_KG_pct,USA_Imports_KG_pct,USA_Balance_Euro,WORLD_Balance_Euro
2002,574885399.0,2026721100.0,1492271301.0,634497200.0,12121351070.0,18545042400.0,38465703433.0,44724687900.0,4.742750174300496,3.879485276018038,10.928640961209126,1.4186732871533354,-917385902.0,-26344352363.0
2003,707160014.0,2167909400.0,2234740593.0,708116900.0,12516610172.0,18461968000.0,42475485687.0,47920122000.0,5.649772616406448,5.261247886528493,11.742569372885924,1.4777026235450736,-1527580579.0,-29958875515.0
2004,709979049.0,2657920000.0,1535252297.0,720210400.0,13366220661.0,18870713200.0,45148527259.0,48504047500.0,5.311741194514162,3.400448232104757,14.084894258262587,1.4848459811523975,-825273248.0,-31782306598.0
2005,779522601.0,2988281200.0,1143986866.0,969933900.0,14856821414.0,21819605100.0,46437251682.0,49222341600.0,5.246900257315027,2.463511135055893,13.695395431331614,1.9705155595442052,-364464265.0,-31580430268.0
2006,704194305.0,2272366300.0,1102190890.0,688849300.0,17130974832.0,21101996000.0,53574343609.0,51011055200.0,4.1106493466127345,2.057311048071977,10.768489862286012,1.3503921793015565,-397996585.0,-36443368777.0
2007,801044043.0,1808616700.0,1812419744.0,1007719400.0,19317257809.0,25368247400.0,61858886693.0,54512917500.0,4.146779273333453,2.929926225466801,7.1294507321778955,1.848588272678673,-1011375701.0,-42541628884.0
2008,1094676865.0,1598286100.0,1776500815.0,1146394700.0,21227704102.0,31636587000.0,65529355920.0,54825337200.0,5.15683118504023,2.7109999633886224,5.052018095377988,2.0909943441259857,-681823950.0,-44301651818.0
2009,1287595516.0,1236916400.0,2207481955.0,994613400.0,18015143341.0,30837554000.0,53138160460.0,48586586100.0,7.1472954260075685,4.154231038279341,4.01107169524535,2.047094640386763,-919886439.0,-35123017119.0
2010,975204115.0,1154631041.0,1405679714.0,953232630.0,21161226985.0,29265404564.0,49648398801.0,48352048383.0,4.608447873515402,2.831268979356666,3.9453787097832786,1.9714420833826456,-430475599.0,-28487171816.0
2011,1343741730.0,1451703873.0,870618385.0,903568835.0,24242490789.0,28507929334.0,47888167977.0,45514352766.0,5.54291942067983,1.8180239958608264,5.092281014140948,1.9852393367987897,473123345.0,-23645677188.0
2012,1008174119.0,1567595961.0,614055676.0,701850596.0,27478388875.0,33819144873.0,47966691922.0,45164401372.0,3.668970999668917,1.2801709924014217,4.635232401312171,1.5539906977160056,394118443.0,-20488303047.0
2013,891380212.0,1502334946.0,508074085.0,729664122.0,27222987658.0,36098076111.0,45822998069.0,46040908352.0,3.2743658528532253,1.1087753015089608,4.161814445125513,1.5848169554376388,383306127.0,-18600010411.0
2014,805612910.0,1504024263.0,698151696.0,932971732.0,27085481643.0,37751540236.0,46695220105.0,47496139976.0,2.9743348138252634,1.495124542576562,3.984007681799847,1.9643106418151761,107461214.0,-19609738462.0
2015,1197020707.0,2775500854.0,583533877.0,1012536054.0,25753707087.0,38251983499.0,42211359065.0,50034313440.0,4.647954964138868,1.3824095928809914,7.2558351230925275,2.0236833172782713,613486830.0,-16457651978.0
2016,1087408870.0,3582165503.0,634492104.0,1078978249.0,25445759688.0,41347087483.0,42317012821.0,53460413556.0,4.27343841698235,1.4993782918560135,8.663646513125792,2.0182751633033402,452916766.0,-16871253133.0
2017,1123036638.0,3552981064.0,728788549.0,1118522317.0,28862972006.0,43253451464.0,47355920779.0,55372914698.0,3.8909251540920473,1.5389597267068271,8.214329593921907,2.0199809294857287,394248089.0,-18492948773.0
2018,1370754490.0,3285081625.0,689713622.0,1240102051.0,33472389759.0,45467098492.0,54119830046.0,58301248351.0,4.095179638709345,1.2744194159770403,7.225184218821473,2.127059172959766,681040868.0,-20647440287.0
2019,1305170268.0,3065070246.0,1223403579.0,1653876575.0,33864483817.0,44768792640.0,55726736643.0,56603807671.0,3.854097629401348,2.195361962135774,6.846443840125861,2.9218468563331927,81766689.0,-21862252826.0
2020,1137065532.0,2741489887.0,977418129.0,2178447521.0,30800679378.0,43113825493.0,48953809008.0,55231956340.0,3.6916897775059203,1.9966130293155964,6.358725665494728,3.944179539087461,159647403.0,-18153129630.0
2021,1607794144.0,3681528653.0,1432082377.0,1651943174.0,39971546328.0,45662921794.0,65366902653.0,59635093888.0,4.022346623287233,2.1908371345085826,8.0624027293053,2.7700856430317624,175711767.0,-25395356325.0
2022,2228400720.0,3623721362.0,3455522785.0,2185812786.0,55762185244.0,44610454614.0,94552734118.0,60474459454.0,3.9962578766401116,3.65459848118995,8.12303168249439,3.614439559666742,-1227122065.0,-38790548874.0
2023,2117302525.0,3253652429.0,1506822649.0,1259631828.0,51017380389.0,45285792219.0,83088337285.0,59676334820.0,4.150159237608596,1.8135188381872072,7.184709087710087,2.1107727741648192,610479876.0,-32070956896.0
2024,2412152338.0,3360451921.0,2161476609.0,2058577442.0,50002860668.0,44437975328.0,85601639772.0,63103306927.0,4.824028677110646,2.5250411262647465,7.562117527174123,3.2622338546875693,250675729.0,-35598779104.0
