Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,633637756.0,61340434.0,572297322.0
1,Beverages and tobacco,Ποτά και καπνός,35849052.0,10953968.0,24895084.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",26235912.0,130702488.0,-104466576.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",551061910.0,1021319368.0,-470257458.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,76780016.0,119316.0,76660700.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,131471363.0,181609743.0,-50138380.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",397587789.0,71439376.0,326148413.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,329950200.0,375182893.0,-45232693.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,146254892.0,110014253.0,36240639.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",604409.0,1139395.0,-534986.0
