Έτος,Ιαν.,Φεβ.,Μαρ.,Απρ.,Μάι.,Ιούν.,Ιούλ.,Αύγ.,Σεπ.,Οκτ.,Νοε.,Δεκ.
2024,150115632.0,189396746.0,215173674.0,182236228.0,185723779.0,189272161.0,243581588.0,215822048.0,236743186.0,204044090.0,181675779.0,217924628.0
2025,162634489.0,234745010.0,177272480.0,158729265.0,223345657.0,202083980.0,206249929.0,205382947.0,269058276.0,,,
