Έτος,Ιαν.,Φεβ.,Μαρ.,Απρ.,Μάι.,Ιούν.,Ιούλ.,Αύγ.,Σεπ.,Οκτ.,Νοε.,Δεκ.
2024,131759934.0,310162107.0,82403467.0,183761676.0,608227613.0,173035904.0,162803600.0,46538415.0,98283758.0,93330589.0,103836720.0,167332826.0
2025,235770032.0,330240570.0,228242523.0,145628056.0,141983899.0,148147684.0,192720711.0,191807050.0,234192712.0,124348803.0,178278962.0,
