month,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Μήνας
1,15749095718.0,15806052379.0,13351909162.0,14665329893.0,16922285738.0,17183282727.0,17242756636.0,12802570478.0,12695836215.0,16798506043.0,19172852007.0,19143148300.0,19479472905.0,21756235993.0,21378878454.0,26209872923.0,26865544323.0,30652629587.0,31125801191.0,28232593632.0,35507360702.0,37244012029.0,40286702863.0,48186655629.0,Ιαν.
2,31935626541.0,31038918894.0,29123039531.0,30329292406.0,34755517065.0,34627547795.0,35560035073.0,26877867343.0,26640841903.0,34886848547.0,39455973943.0,38445981856.0,40069986479.0,46254708449.0,46049921750.0,52278420506.0,52771918757.0,60097215358.0,62592340283.0,58355712659.0,71096237931.0,76878721358.0,82677587194.0,100178926719.0,Φεβ.
3,49716733313.0,46602660632.0,46455297060.0,47253923115.0,55357313599.0,53786210116.0,52327189242.0,42410821597.0,44955831169.0,54814771916.0,60811828485.0,60500682463.0,62246088158.0,74459368525.0,74356821620.0,84075923109.0,85616125641.0,92579185099.0,97647237053.0,93128537038.0,116465722617.0,123912935818.0,127538914836.0,171949113665.0,Μαρ.
4,67180433725.0,62174511884.0,63168170757.0,64205473946.0,73210382161.0,72117055455.0,71055486920.0,56612568309.0,60719572289.0,73166750863.0,79956569241.0,82051675052.0,84085661168.0,101423374488.0,100576741788.0,108786549316.0,112879430063.0,125077615904.0,120947253382.0,125516732625.0,156927543933.0,161694160779.0,173473012292.0,219716927635.0,Απρ.
5,84637594972.0,77995317791.0,79652028266.0,81515976789.0,92158547809.0,89868177913.0,87423408376.0,70046547675.0,77294950973.0,92099549811.0,101933449734.0,102375046697.0,106645040231.0,126972506952.0,126652083991.0,136624030138.0,140672611241.0,158491484653.0,145118818086.0,156770915184.0,202819277524.0,204020470954.0,217819390298.0,266271484347.0,Μάι.
6,101395937776.0,92781668546.0,96938552983.0,99942407626.0,110945872206.0,108621008817.0,105340119436.0,85039335498.0,95828748910.0,110418368514.0,123658967253.0,121904960016.0,128547863885.0,154103674860.0,154205461740.0,163110711190.0,170855602483.0,189469042062.0,171749483723.0,191349287716.0,246494271643.0,248076336700.0,262752151661.0,307422499509.0,Ιούν.
7,119646794358.0,109228314718.0,114390217746.0,117579146542.0,129581351003.0,127875047321.0,123540506261.0,100319204003.0,114786142469.0,128593762447.0,146139353258.0,143194906128.0,151951852983.0,182742690458.0,179448731302.0,189443779693.0,201078115188.0,225507804638.0,203123072303.0,226014983550.0,287030753362.0,290023903413.0,309088582973.0,351599702491.0,Ιούλ.
8,135293593546.0,122758192552.0,128944767250.0,134209236714.0,146782241322.0,144675075607.0,138736950855.0,111723662757.0,130930580744.0,146143414045.0,166984332670.0,161915359738.0,170854925100.0,205301133949.0,203297740301.0,214132882859.0,229649932738.0,255864703085.0,228322138919.0,256663833758.0,328300356672.0,330762285301.0,351353708446.0,384497662423.0,Αύγ.
9,151675886121.0,139249735914.0,145202990543.0,152943498496.0,165495788758.0,162490231716.0,157112705676.0,125959876842.0,149421607421.0,164429159596.0,187651770917.0,182839829046.0,195490945311.0,232008674422.0,229645589060.0,241376263622.0,258323488302.0,288203008819.0,260169273607.0,291127668188.0,374790525866.0,372676771784.0,396810000567.0,,Σεπ.
10,170737909340.0,156915040949.0,162516813666.0,171538997876.0,185072938268.0,182606359160.0,175717102788.0,141291035512.0,167981839364.0,183147941442.0,210116506830.0,205744686390.0,220669131799.0,259941469617.0,254910454040.0,268104624248.0,292016991494.0,324240415759.0,291152331524.0,327196814355.0,419895510908.0,418385809466.0,444565244902.0,,Οκτ.
11,188278732637.0,171895984357.0,179423231023.0,190271659162.0,204948580874.0,201026523785.0,192314603298.0,156010848138.0,186029783234.0,203343428087.0,230773863859.0,227247647036.0,243260001928.0,285427848658.0,282791895618.0,296969226299.0,323477420645.0,355681474783.0,322454391000.0,363832077920.0,466929182318.0,464444540134.0,491225834685.0,,Νοε.
12,203669696398.0,187023541368.0,195273037998.0,208498645184.0,223153678014.0,216304669874.0,207335909456.0,169380177966.0,202925001235.0,222593165551.0,248209004749.0,245984242095.0,265917751651.0,310833291533.0,308818101540.0,324015297754.0,350728560487.0,384621139126.0,353023406948.0,399461669601.0,508605685195.0,503802308829.0,533586996740.0,,Δεκ.
