Φύλο,Δεν ψήφισε,Κατά,Υπέρ,Ψήφος Γάμος Ομοφύλων
Βουλευτές,42,65,125,Ψήφος στην Ισότητα του Γάμου
Βουλεύτριες,6,12,50,Ψήφος στην Ισότητα του Γάμου
