sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,28.0,5247.2,0.6,5275.2
manufacturing,βιομηχανία/μεταποίηση,4212.0,229611.8,1.8,233823.8
electricity_gas_supply,ηλεκτρισμός_&_αέριο,323.8,34747.0,0.9,35070.8
water_supply,παροχή_νερού,535.8,13983.0,3.8,14518.8
construction,κατασκευές,2165.5,66363.2,3.2,68528.7
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,5891.2,428440.0,1.4,434331.2
transport_storage,μεταφορές_&_αποθήκευση,1628.5,129670.8,1.2,131299.3
accommodation_food_services,καταλύματα_&_εστίαση,11798.2,139628.5,7.6,151426.7
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,907.5,96808.2,0.9,97715.7
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,314.2,60038.0,0.5,60352.2
real_estate,ακίνητα,160.5,6200.5,3.0,6361.0
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,2455.8,69364.0,3.4,71819.8
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,3126.8,66706.0,4.4,69832.8
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,5780.2,282630.2,2.0,288410.4
education,εκπαίδευση,4285.2,312441.0,1.4,316726.2
social_work,υγεία_&_κοινωνική_εργασία,4562.5,302611.0,1.5,307173.5
arts_recreation,τέχνες_&_ψυχαγωγία,878.2,17447.0,4.9,18325.2
other_services,άλλες_υπηρεσίες,975.8,41265.2,2.3,42241.0
