sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,24.8,4079.2,0.6,4104.0
manufacturing,βιομηχανία/μεταποίηση,4463.5,238111.8,1.8,242575.3
electricity_gas_supply,ηλεκτρισμός_&_αέριο,350.2,32104.2,1.1,32454.4
water_supply,παροχή_νερού,468.2,12822.5,3.6,13290.7
construction,κατασκευές,2802.8,72762.5,3.7,75565.3
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,7195.8,471106.2,1.5,478302.0
transport_storage,μεταφορές_&_αποθήκευση,1867.8,132926.8,1.4,134794.59999999998
accommodation_food_services,καταλύματα_&_εστίαση,4683.0,151415.5,3.0,156098.5
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,622.2,103635.2,0.6,104257.4
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,224.8,68634.0,0.4,68858.8
real_estate,ακίνητα,37.2,6388.0,0.6,6425.2
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,2660.8,79548.2,3.2,82209.0
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,1473.8,72578.0,2.0,74051.8
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,4950.2,290874.8,1.7,295825.0
education,εκπαίδευση,4076.8,326361.0,1.2,330437.8
social_work,υγεία_&_κοινωνική_εργασία,4583.8,304774.0,1.5,309357.8
arts_recreation,τέχνες_&_ψυχαγωγία,696.5,20436.2,3.3,21132.7
other_services,άλλες_υπηρεσίες,643.5,39848.8,1.6,40492.3
