sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,22.2,7016.8,0.3,7039.0
manufacturing,βιομηχανία/μεταποίηση,4731.8,231388.2,2.0,236120.0
electricity_gas_supply,ηλεκτρισμός_&_αέριο,204.5,28337.0,0.7,28541.5
water_supply,παροχή_νερού,589.8,12414.0,4.5,13003.8
construction,κατασκευές,1601.8,55758.2,2.8,57360.0
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,8642.2,414226.5,2.0,422868.7
transport_storage,μεταφορές_&_αποθήκευση,1263.8,121146.8,1.0,122410.6
accommodation_food_services,καταλύματα_&_εστίαση,5837.5,133443.2,4.2,139280.7
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,938.8,94692.2,1.0,95631.0
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,310.8,58396.8,0.5,58707.600000000006
real_estate,ακίνητα,125.2,6435.2,1.9,6560.4
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,2958.0,67711.2,4.2,70669.2
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,965.8,59196.5,1.6,60162.3
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,2195.2,297369.8,0.7,299565.0
education,εκπαίδευση,1856.5,317882.2,0.6,319738.7
social_work,υγεία_&_κοινωνική_εργασία,4635.2,306319.5,1.5,310954.7
arts_recreation,τέχνες_&_ψυχαγωγία,747.2,15614.8,4.6,16362.0
other_services,άλλες_υπηρεσίες,372.0,44444.5,0.8,44816.5
