sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,6.8,8073.5,0.1,8080.3
manufacturing,βιομηχανία/μεταποίηση,1120.0,237130.5,0.5,238250.5
electricity_gas_supply,ηλεκτρισμός_&_αέριο,141.5,25501.5,0.6,25643.0
water_supply,παροχή_νερού,315.0,12629.0,2.4,12944.0
construction,κατασκευές,3684.8,49057.2,6.6,52742.0
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,904.5,425883.5,0.2,426788.0
transport_storage,μεταφορές_&_αποθήκευση,435.0,113084.0,0.4,113519.0
accommodation_food_services,καταλύματα_&_εστίαση,6460.0,134268.0,4.5,140728.0
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,1129.0,94339.0,1.2,95468.0
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,209.5,51350.5,0.4,51560.0
real_estate,ακίνητα,64.8,6069.2,1.2,6134.0
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,1029.8,66023.2,1.6,67053.0
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,626.5,54998.5,1.2,55625.0
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,2047.5,300912.8,0.6,302960.3
education,εκπαίδευση,635.5,324714.2,0.2,325349.7
social_work,υγεία_&_κοινωνική_εργασία,1965.8,286964.8,0.7,288930.6
arts_recreation,τέχνες_&_ψυχαγωγία,612.5,17542.8,3.4,18155.3
other_services,άλλες_υπηρεσίες,480.5,41353.0,1.1,41833.5
