sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,33.5,8275.0,0.4,8308.5
manufacturing,βιομηχανία/μεταποίηση,782.5,209039.2,0.4,209821.7
electricity_gas_supply,ηλεκτρισμός_&_αέριο,22.2,23046.5,0.1,23068.7
water_supply,παροχή_νερού,491.8,11415.8,4.0,11907.599999999999
construction,κατασκευές,141.8,55065.8,0.2,55207.600000000006
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,1034.2,395056.5,0.3,396090.7
transport_storage,μεταφορές_&_αποθήκευση,1047.0,104069.8,1.0,105116.8
accommodation_food_services,καταλύματα_&_εστίαση,3115.8,133805.0,2.3,136920.8
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,580.8,90627.0,0.6,91207.8
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,34.8,61556.2,0.0,61591.0
real_estate,ακίνητα,113.2,2592.0,4.3,2705.2
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,1147.8,42964.5,2.6,44112.3
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,292.5,56515.0,0.5,56807.5
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,1465.8,341856.5,0.4,343322.3
education,εκπαίδευση,535.2,303655.2,0.2,304190.4
social_work,υγεία_&_κοινωνική_εργασία,1752.2,246882.8,0.7,248635.0
arts_recreation,τέχνες_&_ψυχαγωγία,657.2,15117.8,4.1,15775.0
other_services,άλλες_υπηρεσίες,302.8,40059.0,0.8,40361.8
