sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,17.8,7261.8,0.2,7279.6
manufacturing,βιομηχανία/μεταποίηση,893.0,208715.0,0.4,209608.0
electricity_gas_supply,ηλεκτρισμός_&_αέριο,12.2,25667.0,0.0,25679.2
water_supply,παροχή_νερού,296.8,8901.2,3.2,9198.0
construction,κατασκευές,215.8,50204.0,0.4,50419.8
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,1277.5,409869.2,0.3,411146.7
transport_storage,μεταφορές_&_αποθήκευση,593.0,110314.2,0.5,110907.2
accommodation_food_services,καταλύματα_&_εστίαση,1041.5,113686.8,0.9,114728.3
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,322.2,90628.0,0.4,90950.2
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,78.2,60503.5,0.1,60581.7
real_estate,ακίνητα,45.2,2917.2,1.6,2962.3999999999996
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,702.2,48109.5,1.4,48811.7
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,210.8,52493.2,0.4,52704.0
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,1316.2,301041.0,0.4,302357.2
education,εκπαίδευση,232.0,303035.5,0.1,303267.5
social_work,υγεία_&_κοινωνική_εργασία,1524.2,260791.8,0.6,262316.0
arts_recreation,τέχνες_&_ψυχαγωγία,347.0,15466.8,2.2,15813.8
other_services,άλλες_υπηρεσίες,91.2,41584.5,0.2,41675.7
